model,model_short,family,relation,org,prompt,n_gens,n_branches,branch_entropy,top_branch,top_branch_pct
allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,OLMo-2-0425-1B,base,Allen AI,contradiction,100,48,4.809,marry,0.16
allenai/OLMo-2-0425-1B-DPO,OLMo-2-0425-1B-DPO,OLMo-2-0425-1B,dpo_of,Allen AI,contradiction,100,47,4.823,kill,0.17
allenai/OLMo-2-0425-1B-Instruct,OLMo-2-0425-1B-Instruct,OLMo-2-0425-1B,rlvr_of,Allen AI,contradiction,100,41,4.592,be,0.18
allenai/OLMo-2-0425-1B-SFT,OLMo-2-0425-1B-SFT,OLMo-2-0425-1B,sft_of,Allen AI,contradiction,100,42,4.59,kill,0.21
01-ai/Yi-1.5-9B-Chat,Yi-1.5-9B-Chat,Yi-9B,aligned_of,01.AI,labor,100,32,4.002,quit,0.29
01-ai/Yi-9B,Yi-9B,Yi-9B,base,01.AI,labor,100,43,4.55,quit,0.18
EleutherAI/pythia-6.9b,pythia-6.9b,pythia-6.9b,base,EleutherAI,labor,100,51,5.196,take,0.11
HuggingFaceH4/mistral-7b-sft-beta,mistral-7b-sft-beta,Mistral-7B-v0.1,sft_of,HuggingFace,labor,100,29,3.544,take,0.33
HuggingFaceH4/zephyr-7b-beta,zephyr-7b-beta,Mistral-7B-v0.1,dpo_of,HuggingFace,labor,100,45,4.644,take,0.22
HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,SmolLM2-360M,base,HuggingFace,labor,100,47,4.744,quit,0.14
HuggingFaceTB/SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M,aligned_of,,labor,100,38,4.442,take,0.18
HuggingFaceTB/SmolLM3-3B,SmolLM3-3B,SmolLM3-3B-Base,aligned_of,,labor,100,36,4.588,take,0.11
HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,SmolLM3-3B-Base,base,HuggingFace,labor,100,47,4.973,go,0.13
LLM360/Amber,Amber,Amber,base,LLM360,labor,100,45,4.729,sue,0.14
LLM360/AmberChat,AmberChat,Amber,sft_of,LLM360,labor,100,40,4.405,leave,0.26
LLM360/AmberSafe,AmberSafe,Amber,dpo_of,LLM360,labor,100,23,3.436,take,0.24
NousResearch/Hermes-3-Llama-3.1-8B,Hermes-3-Llama-3.1-8B,Llama-3.1-8B,aligned_of,NousResearch,labor,100,33,4.13,quit,0.17
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,Nous-Hermes-2-Mistral-7B-DPO,Mistral-7B-v0.1,dpo_of,NousResearch,labor,100,35,4.248,take,0.28
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Qwen2.5-0.5B,base,Alibaba,labor,100,51,5.261,sue,0.09
allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,OLMo-2-0425-1B,base,Allen AI,labor,100,52,5.188,take,0.1
allenai/OLMo-2-0425-1B-DPO,OLMo-2-0425-1B-DPO,OLMo-2-0425-1B,dpo_of,Allen AI,labor,100,35,4.184,sue,0.28
allenai/OLMo-2-0425-1B-Instruct,OLMo-2-0425-1B-Instruct,OLMo-2-0425-1B,rlvr_of,Allen AI,labor,100,35,3.87,sue,0.33
allenai/OLMo-2-0425-1B-SFT,OLMo-2-0425-1B-SFT,OLMo-2-0425-1B,sft_of,Allen AI,labor,100,38,4.317,sue,0.22
