family,role,category,pos,n,resistance,median
archangel-dpo,superego,death,2,500,0.014826267016731546,0.0035640390019467854
archangel-dpo,superego,death,3,500,0.01780644291769879,0.0088774194559071
archangel-dpo,superego,death,4,500,0.03966185899334125,0.011909006252224855
archangel-dpo,superego,death,5,500,0.008403155286646305,-2.6829987584648314e-05
archangel-dpo,superego,death,6,500,0.03693861399445677,-2.5541966233407444e-05
archangel-dpo,superego,death,7,500,0.04781197258426189,0.003187561271003863
archangel-dpo,superego,death,8,500,0.37159188837060636,0.0027348565931590817
archangel-dpo,superego,death,9,482,0.13158386490412988,0.010499325709822378
ct-llm,superego,death,0,500,0.0021451352645970845,0.0035998557662978202
ct-llm,superego,death,1,500,0.02143620268166472,-0.000419192208862217
ct-llm,superego,death,2,500,0.02575041214652194,3.845817882717891e-05
ct-llm,superego,death,3,500,-0.0002864187491117082,-0.004263115760341155
ct-llm,superego,death,4,500,0.003907549891350801,-0.00011810299344901399
ct-llm,superego,death,5,500,0.00821098846857459,-9.384279460690028e-05
ct-llm,superego,death,6,500,0.00912562391889421,-2.70067782414045e-05
ct-llm,superego,death,7,500,0.002702765403941067,-0.0003217220408543574
ct-llm,superego,death,8,500,0.011558027461537099,-1.1180886265846913e-05
ct-llm,superego,death,9,500,0.0031057847373382732,-4.232653910905877e-05
deepseek-7b,superego,death,0,500,0.29651778002657303,0.4584555385652029
deepseek-7b,superego,death,1,500,2.579097566724812,-0.015295492920361347
deepseek-7b,superego,death,2,500,2.106306666713936,0.18061642943538148
deepseek-7b,superego,death,3,500,1.3478478747404885,0.2512413884814975
deepseek-7b,superego,death,4,500,0.5483901043247154,0.07578765215108221
deepseek-7b,superego,death,5,500,0.10259289467439593,-0.03281842275050189
deepseek-7b,superego,death,6,500,0.19784115698432145,-0.0409487104624556
deepseek-7b,superego,death,7,500,0.7243352615199493,-0.02495970070958012
deepseek-7b,superego,death,8,500,0.35450759840596746,-0.03644884828491918
deepseek-7b,superego,death,9,494,2.0568957792302762,0.02174440875800826
