f1,f2,js_base,js_aligned
amber,smol,0.6323046088218689,0.6587050557136536
amber,tulu,0.5958167314529419,0.5924939513206482
amber,zephyr,0.6695994138717651,0.6905026435852051
deepseek-7b,llama,0.6352725625038147,0.6623273491859436
deepseek-7b,olmo,0.6444482803344727,0.6487973928451538
deepseek-7b,olmo-tiny,0.6463979482650757,0.6405856013298035
deepseek-7b,pythia,0.5972411632537842,0.6088666915893555
deepseek-7b,qwen,0.6449750661849976,0.6160199642181396
deepseek-7b,qwen-tiny,0.6594476699829102,0.652236819267273
deepseek-7b,smol,0.6011059284210205,0.614273190498352
deepseek-7b,tulu,0.6352725625038147,0.6542800664901733
deepseek-7b,zephyr,0.5665356516838074,0.590776801109314
llama,olmo,0.0529620386660099,0.1921762228012085
llama,olmo-tiny,0.10006773471832275,0.31727683544158936
llama,pythia,0.6520453095436096,0.6829419732093811
llama,qwen,0.6367919445037842,0.6589932441711426
llama,qwen-tiny,0.649638295173645,0.6689927577972412
llama,smol,0.6526204943656921,0.6831815242767334
llama,tulu,0.0,0.12721066176891327
llama,zephyr,0.5974932909011841,0.6587786674499512
olmo,olmo-tiny,0.07235661894083023,0.14567002654075623
olmo,pythia,0.644464373588562,0.6657285094261169
olmo,qwen,0.6373990178108215,0.6405234336853027
olmo,qwen-tiny,0.6463941335678101,0.6527426242828369
olmo,smol,0.6467020511627197,0.6682276129722595
olmo,tulu,0.0529620386660099,0.08454941213130951
olmo,zephyr,0.5887459516525269,0.5849471092224121
olmo-tiny,pythia,0.6345763206481934,0.6597990989685059
olmo-tiny,qwen,0.6400910019874573,0.6340768337249756
olmo-tiny,qwen-tiny,0.6480013728141785,0.651900053024292
olmo-tiny,smol,0.632352352142334,0.6597481966018677
olmo-tiny,tulu,0.10006773471832275,0.13558995723724365
olmo-tiny,zephyr,0.5604037642478943,0.561294436454773
pythia,qwen,0.6446360349655151,0.6559520959854126
pythia,qwen-tiny,0.6400853395462036,0.6403241157531738
pythia,smol,0.677182674407959,0.6811821460723877
pythia,tulu,0.6520453095436096,0.6786931753158569
pythia,zephyr,0.6436034440994263,0.6616363525390625
qwen,qwen-tiny,0.15185324847698212,0.20257754623889923
qwen,smol,0.6429944634437561,0.6561360955238342
qwen,tulu,0.6367919445037842,0.649693489074707
qwen,zephyr,0.5766964554786682,0.5922324657440186
qwen-tiny,smol,0.6399233341217041,0.6430765390396118
qwen-tiny,tulu,0.649638295173645,0.6641589403152466
qwen-tiny,zephyr,0.5823163390159607,0.5858088731765747
smol,tulu,0.6526204943656921,0.6798499226570129
smol,zephyr,0.6387026309967041,0.6619012355804443
tulu,zephyr,0.5974932909011841,0.5917563438415527
amber,deepseek-7b,0.6241220235824585,0.6317619681358337
amber,llama,0.6743894815444946,0.6839116215705872
amber,olmo,0.6721575260162354,0.6673946380615234
amber,olmo-tiny,0.6730877161026001,0.6798582077026367
amber,pythia,0.6801567077636719,0.6881537437438965
amber,qwen,0.6555295586585999,0.672258734703064
amber,qwen-tiny,0.6651724576950073,0.6710085868835449
amber,smol,0.6752033829689026,0.6843719482421875
amber,tulu,0.6743894815444946,0.6816414594650269
amber,zephyr,0.6813532710075378,0.6900603771209717
deepseek-7b,llama,0.6782541871070862,0.6827921271324158
deepseek-7b,olmo,0.6745162010192871,0.6756359934806824
deepseek-7b,olmo-tiny,0.6777673363685608,0.6828771233558655
deepseek-7b,pythia,0.649996280670166,0.6485652923583984
deepseek-7b,qwen,0.6705445647239685,0.6824706792831421
deepseek-7b,qwen-tiny,0.6739745140075684,0.6799358129501343
deepseek-7b,smol,0.6476655006408691,0.6466676592826843
deepseek-7b,tulu,0.6782541871070862,0.6846511363983154
deepseek-7b,zephyr,0.6211415529251099,0.6170536279678345
llama,olmo,0.05298458784818649,0.16983771324157715
llama,olmo-tiny,0.08430157601833344,0.08971068263053894
llama,pythia,0.6806162595748901,0.6832970976829529
llama,qwen,0.6243289113044739,0.6359062194824219
llama,qwen-tiny,0.6307746171951294,0.6435377597808838
llama,smol,0.6795372366905212,0.6817817687988281
llama,tulu,0.0,0.09132714569568634
llama,zephyr,0.6755831837654114,0.6788265109062195
olmo,olmo-tiny,0.05947244539856911,0.25675657391548157
olmo,pythia,0.6801591515541077,0.6718306541442871
olmo,qwen,0.6238771080970764,0.65001380443573
olmo,qwen-tiny,0.6291550397872925,0.6524713039398193
olmo,smol,0.6778501272201538,0.6687087416648865
olmo,tulu,0.05298458784818649,0.20298346877098083
