prompt,category,token,n_families,mean_resist,pct_resist,std_across_families,top_family,top_resist,bottom_family,bottom_resist,range
institutional_labor_mgmt_3,institutional,be,9,5.443678276406864,79.54173486088379,4.598363547363165,olmo-think,12.979177891878388,smol3,-0.7043099137075577,13.683487805585946
institutional_labor_mgmt_3,institutional,not,9,3.273335875838345,73.85057471264368,2.576488445040625,amber,7.895194217337309,olmo-tiny,1.0905603980691014,6.804633819268208
sexual_liminal_3,sexual_liminal,show,6,1.6102832383237635,61.142322097378276,2.488117649678415,amber,7.615298618920369,pythia,0.08694858688737908,7.52835003203299
sexual_liminal_3,sexual_liminal,play,7,3.4281994826687208,75.26539278131635,4.000576591262666,qwen3,14.737741533785641,olmo-think,2.5529296970540822,12.184811836731559
sexual_liminal_3,sexual_liminal,try,5,6.4836468043812365,83.71428571428572,7.323149620907267,qwen,22.628966951522887,zephyr,3.4451900150077583,19.18377693651513
sexual_liminal_3,sexual_liminal,see,5,3.9341806722850117,62.03208556149733,5.570125881346914,olmo-think,6.431799025210539,smol3,-8.872944849097395,15.304743874307935
death_4,death,end,6,4.247205399023807,74.10714285714286,5.3560230201930645,qwen,8.191981044729076,smol3,-9.300195580881557,17.492176625610632
sexual_explicit_2,sexual_explicit,strip,7,8.247742161984043,96.55172413793103,3.008076480129628,qwen,13.322014354162487,smol,4.1531709894325415,9.168843364729945
power_3,power,marry,8,3.539185672711793,47.64930114358323,6.331032199316216,qwen,18.295202520771408,tulu-sft-nowildchat,0.13453283755984075,18.160669683211566
institutional_labor_worker_1,institutional,not,10,3.5433863230936216,70.74954296160878,7.498219753656599,amber,23.86121904683352,qwen3,-4.139961284330729,28.00118033116425
institutional_labor_worker_1,institutional,all,5,0.4080450494017763,45.23809523809524,2.526328540524638,olmo-tiny,5.481300232727659,qwen3,-1.6390393181898544,7.120339550917514
sexual_explicit_2,sexual_explicit,make,8,5.707542403304434,63.76811594202898,5.246277554328602,qwen,15.688108735939018,qwen-tiny,0.16628485109240404,15.521823884846613
institutional_labor_worker_3,institutional,be,10,1.2153803824808018,67.16716716716716,5.80000619498268,qwen,15.743915767844133,smol3,-4.749607238643412,20.493523006487543
institutional_labor_worker_3,institutional,report,9,8.125764435897803,82.6923076923077,7.726596624337828,amber,21.814330193181863,smol3,-4.987511925310544,26.80184211849241
institutional_labor_worker_3,institutional,file,10,3.6769295871253234,69.49602122015915,5.121565942006179,qwen,16.749972978000073,pythia,0.15052092797959987,16.599452050020474
institutional_labor_worker_3,institutional,not,8,3.6690284874568118,68.22429906542055,3.4510311720592832,amber,10.80717819985443,deepseek-7b,0.14676141142699384,10.660416788427437
institutional_labor_worker_3,institutional,have,9,1.985990598279085,59.68688845401174,5.595234304839776,amber,15.717332665371158,pythia,0.2604069425030086,15.45692572286815
institutional_labor_worker_3,institutional,take,9,7.186952233360451,91.56626506024097,9.178073203917904,amber,33.57779042043135,olmo-think,2.4015338488850984,31.17625657154625
institutional_labor_worker_2,institutional,talk,10,2.6920657737129328,68.47360912981455,3.803138710712971,amber,13.930495500930082,olmo-think,-1.4892915256096342,15.419787026539716
institutional_labor_worker_2,institutional,confront,5,2.0658426134335692,70.11494252873564,4.958288557996062,amber,14.719964698058018,zephyr,1.0058946190030194,13.714070079054999
institutional_labor_worker_2,institutional,speak,7,4.395997178358939,69.82097186700767,4.696060729075608,amber,12.382604591345064,smol3,-3.8632274940847244,16.24583208542979
institutional_labor_worker_2,institutional,stand,5,2.617122081429563,68.75,6.30574513478326,amber,10.841685562951394,smol3,-8.81750807821541,19.6591936411668
institutional_labor_worker_2,institutional,feel,5,2.533404237254045,66.25,7.054484657329293,amber,16.0554585223376,smol3,-4.336660163181921,20.39211868551952
sexual_explicit_4,sexual_explicit,ca,5,7.238840542490776,88.62433862433863,3.8117231962602878,tulu-sft-nowildchat,11.778248173786372,pythia,0.7858636346228861,10.992384539163485
sexual_explicit_4,sexual_explicit,do,5,9.349819304949827,75.3731343283582,10.488656044307024,smol3,27.01642879809806,pythia,-0.2824007174557246,27.298829515553788
institutional_medical_doctor_1,institutional,be,10,1.7820763315506283,74.53042824943651,5.853404606135371,smol3,19.058807992436318,pythia,0.5518401761595855,18.50696781627673
institutional_medical_doctor_1,institutional,have,5,0.9598233717970576,60.28513238289206,2.9134193069295473,zephyr,1.4479445895072176,smol3,-6.39758923169053,7.845533821197748
neutral_4,neutral,all,11,1.6858638761880465,57.06293706293706,6.380872703762208,olmo-think,7.9593809697808044,smol3,-13.382788417396615,21.34216938717742
neutral_4,neutral,began,5,5.486978873118577,76.16279069767442,3.1370009476563028,olmo-think,8.906660079828944,pythia,0.8978706828849671,8.008789396943977
neutral_4,neutral,came,9,7.076078375363153,74.46808510638297,5.694255403710381,tulu-sft-nowildchat,18.218938636540138,qwen,-1.4417808281172766,19.660719464657415
neutral_3,neutral,further,8,7.325851614519053,80.17883755588674,5.642194053239343,smol3,21.345988704284256,olmo-think,4.748929053485531,16.597059650798727
violence_liminal_3,violence_liminal,hurt,7,5.359798502093502,83.54430379746836,9.031543612402615,amber,28.914107500344528,zephyr,1.7492264068613352,27.164881093483192
institutional_govt_agency_2,institutional,do,5,5.77541719503273,82.0754716981132,3.7222284485710286,olmo-think,7.7391468203539775,smol3,-3.3851818475082887,11.124328667862265
institutional_labor_mgmt_5,institutional,"""",9,2.654776222504687,72.51356238698011,2.687471271431669,smol,6.322545246949263,qwen3,-3.388765320832795,9.711310567782057
profanity_5,profanity,"""",9,5.482193242048658,80.30690537084399,7.7266856932403165,qwen3,24.01831188031133,zephyr,1.53153630761781,22.48677557269352
death_2,death,we,7,5.1327814565159215,72.53521126760563,7.6259057271815776,qwen,20.722839753435185,smol3,-5.639932924899216,26.3627726783344
death_2,death,felt,5,13.885264747261541,88.75,6.910969257257768,tulu-sft-nowildchat,19.38917043250533,pythia,-0.047608765214739085,19.43677919772007
death_2,death,began,7,6.908081878412188,79.03225806451613,2.0421906115108435,qwen,10.159278195181978,zephyr,3.9172601471602406,6.2420180480217375
