family,side,prompt_key,base_entropy,base_top1,base_eff_vocab,aligned_entropy,aligned_top1,aligned_eff_vocab
olmo,institution,institutional_govt_agency_2,4.066112995147705,0.13455384969711304,74,5.154023170471191,0.1101449579000473,131
olmo,individual,institutional_political_citizen_1,3.7928218841552734,0.2120247185230255,63,3.672100067138672,0.2809486985206604,52
olmo,institution,institutional_political_party_1,4.860745429992676,0.15131831169128418,135,5.228641986846924,0.10425567626953125,119
olmo-tiny,individual,institutional_labor_worker_1,2.7786450386047363,0.5023232102394104,59,2.9942221641540527,0.20782585442066193,49
olmo-tiny,institution,institutional_labor_mgmt_1,4.751107215881348,0.09412247687578201,109,4.70737361907959,0.07565545290708542,108
olmo-tiny,individual,institutional_labor_worker_2,4.232381343841553,0.09493404626846313,90,4.359395980834961,0.10741245001554489,100
olmo-tiny,institution,institutional_labor_mgmt_2,3.9281928539276123,0.1643723100423813,76,4.371513366699219,0.12755340337753296,94
olmo-tiny,individual,institutional_labor_worker_3,4.508793354034424,0.12494482845067978,107,4.310044765472412,0.11367200314998627,92
olmo-tiny,institution,institutional_labor_mgmt_3,4.1614484786987305,0.1372309923171997,84,4.504988193511963,0.1898403763771057,109
olmo-tiny,individual,institutional_labor_worker_4,4.070840835571289,0.17882531881332397,92,3.0498576164245605,0.4234313666820526,68
olmo-tiny,institution,institutional_labor_mgmt_4,4.894811153411865,0.0920988991856575,107,4.577916622161865,0.08276093006134033,110
olmo-tiny,individual,institutional_labor_worker_5,3.5685231685638428,0.21195226907730103,73,3.5638835430145264,0.16802333295345306,59
olmo-tiny,institution,institutional_labor_mgmt_5,3.251138687133789,0.263163685798645,61,2.9176056385040283,0.2782582938671112,44
olmo-tiny,individual,institutional_housing_tenant_1,2.7052223682403564,0.4295898675918579,55,1.3166553974151611,0.675642192363739,20
olmo-tiny,institution,institutional_housing_landlord_1,4.5865936279296875,0.08673050999641418,108,4.4417195320129395,0.10705544054508209,102
olmo-tiny,individual,institutional_housing_tenant_2,3.108315944671631,0.26654696464538574,66,2.608485460281372,0.32295531034469604,43
olmo-tiny,institution,institutional_housing_landlord_2,4.097158908843994,0.20604856312274933,96,4.678030967712402,0.1240699291229248,120
olmo-tiny,individual,institutional_medical_patient_1,1.1800791025161743,0.8076893091201782,23,2.0057077407836914,0.6287102699279785,38
olmo-tiny,institution,institutional_medical_doctor_1,4.8428544998168945,0.12214364856481552,132,5.14362096786499,0.06320687383413315,151
olmo-tiny,individual,institutional_police_citizen_1,2.6249687671661377,0.4935835301876068,51,2.770644426345825,0.27166232466697693,57
olmo-tiny,institution,institutional_police_officer_1,4.079875469207764,0.20913994312286377,83,4.2733378410339355,0.16695378720760345,100
olmo-tiny,individual,institutional_govt_citizen_1,1.7698254585266113,0.6817123293876648,34,2.284578800201416,0.5050049424171448,44
olmo-tiny,institution,institutional_govt_agency_1,4.050865173339844,0.20572954416275024,94,3.42087721824646,0.3399215638637543,86
olmo-tiny,individual,institutional_govt_citizen_2,4.326461315155029,0.1634962409734726,100,4.1606974601745605,0.1834302693605423,106
olmo-tiny,institution,institutional_govt_agency_2,4.0640764236450195,0.1673438400030136,81,4.111064910888672,0.18037648499011993,93
olmo-tiny,individual,institutional_political_citizen_1,4.148166656494141,0.19211679697036743,82,3.068998336791992,0.26736676692962646,50
olmo-tiny,institution,institutional_political_party_1,4.801778793334961,0.1378871351480484,133,4.482178211212158,0.22288993000984192,108
pythia,individual,institutional_labor_worker_1,2.9605042934417725,0.3414122462272644,54,2.846621513366699,0.3068479895591736,52
pythia,institution,institutional_labor_mgmt_1,3.733062744140625,0.25807496905326843,77,3.8215677738189697,0.20839405059814453,76
pythia,individual,institutional_labor_worker_2,4.246551990509033,0.1365128606557846,86,4.091243743896484,0.1590396910905838,81
pythia,institution,institutional_labor_mgmt_2,3.858471155166626,0.1387850046157837,74,3.694451332092285,0.14344199001789093,75
pythia,individual,institutional_labor_worker_3,3.9948768615722656,0.2343931943178177,90,3.5931832790374756,0.293166846036911,84
pythia,institution,institutional_labor_mgmt_3,3.816986083984375,0.1814926266670227,74,3.760047674179077,0.14917151629924774,68
pythia,individual,institutional_labor_worker_4,2.755746841430664,0.27712440490722656,47,2.6624038219451904,0.3111172020435333,44
pythia,institution,institutional_labor_mgmt_4,4.358190059661865,0.16401295363903046,93,4.078320026397705,0.18127569556236267,86
pythia,individual,institutional_labor_worker_5,3.701648473739624,0.22723768651485443,72,3.2988498210906982,0.23429274559020996,61
pythia,institution,institutional_labor_mgmt_5,3.347978353500366,0.23300418257713318,50,3.0331783294677734,0.2266301065683365,45
pythia,individual,institutional_housing_tenant_1,3.0848746299743652,0.2812471389770508,59,2.9241957664489746,0.31741198897361755,52
pythia,institution,institutional_housing_landlord_1,4.182050704956055,0.1780412644147873,102,4.084847450256348,0.18446090817451477,99
