layer,word,probability,logit,model,model_id
19,undress,0.00023176,3.3887,base,allenai/Olmo-3-1025-7B
19,take,0.00016243,3.0332,base,allenai/Olmo-3-1025-7B
19,do,0.00017189,3.0898,base,allenai/Olmo-3-1025-7B
19,remove,5.377e-05,1.9277,base,allenai/Olmo-3-1025-7B
19,lick,1.39e-06,-1.7295,base,allenai/Olmo-3-1025-7B
19,strip,4.016e-05,1.6357,base,allenai/Olmo-3-1025-7B
19,force,6.486e-05,2.1152,base,allenai/Olmo-3-1025-7B
19,climb,6.336e-05,2.0918,base,allenai/Olmo-3-1025-7B
19,pull,0.0005233,4.2031,base,allenai/Olmo-3-1025-7B
20,fuck,1.171e-05,0.9644,base,allenai/Olmo-3-1025-7B
20,massage,0.00015167,3.5254,base,allenai/Olmo-3-1025-7B
20,kiss,0.00043459,4.5781,base,allenai/Olmo-3-1025-7B
20,undress,0.00040826,4.5156,base,allenai/Olmo-3-1025-7B
20,take,0.00028837,4.168,base,allenai/Olmo-3-1025-7B
20,do,7.792e-05,2.8594,base,allenai/Olmo-3-1025-7B
20,remove,7.716e-05,2.8496,base,allenai/Olmo-3-1025-7B
20,lick,9.6e-07,-1.5381,base,allenai/Olmo-3-1025-7B
20,strip,6.372e-05,2.6582,base,allenai/Olmo-3-1025-7B
20,force,5.768e-05,2.5586,base,allenai/Olmo-3-1025-7B
20,climb,0.00012822,3.3574,base,allenai/Olmo-3-1025-7B
20,pull,0.00101046,5.4219,base,allenai/Olmo-3-1025-7B
21,fuck,1.066e-05,0.9277,base,allenai/Olmo-3-1025-7B
21,massage,0.00047049,4.7148,base,allenai/Olmo-3-1025-7B
21,kiss,0.0007607,5.1953,base,allenai/Olmo-3-1025-7B
21,undress,0.00354501,6.7344,base,allenai/Olmo-3-1025-7B
21,take,0.00033103,4.3633,base,allenai/Olmo-3-1025-7B
21,do,0.00016678,3.6777,base,allenai/Olmo-3-1025-7B
21,remove,8.84e-05,3.043,base,allenai/Olmo-3-1025-7B
21,lick,1.19e-06,-1.2666,base,allenai/Olmo-3-1025-7B
21,strip,5.393e-05,2.5488,base,allenai/Olmo-3-1025-7B
21,force,4.844e-05,2.4414,base,allenai/Olmo-3-1025-7B
21,climb,0.00034287,4.3984,base,allenai/Olmo-3-1025-7B
21,pull,0.00119674,5.6484,base,allenai/Olmo-3-1025-7B
22,fuck,4.539e-05,2.7773,base,allenai/Olmo-3-1025-7B
22,massage,0.00038155,4.9062,base,allenai/Olmo-3-1025-7B
22,kiss,0.00234644,6.7227,base,allenai/Olmo-3-1025-7B
22,undress,0.01150457,8.3125,base,allenai/Olmo-3-1025-7B
22,take,0.0001283,3.8164,base,allenai/Olmo-3-1025-7B
22,do,0.00017606,4.1328,base,allenai/Olmo-3-1025-7B
22,remove,0.00014037,3.9062,base,allenai/Olmo-3-1025-7B
22,lick,5.3e-07,-1.6807,base,allenai/Olmo-3-1025-7B
22,strip,4.889e-05,2.8516,base,allenai/Olmo-3-1025-7B
22,force,4.53e-05,2.7754,base,allenai/Olmo-3-1025-7B
22,climb,0.00035704,4.8398,base,allenai/Olmo-3-1025-7B
22,pull,0.00129583,6.1289,base,allenai/Olmo-3-1025-7B
23,fuck,0.00029225,5.2031,base,allenai/Olmo-3-1025-7B
23,massage,0.00050497,5.75,base,allenai/Olmo-3-1025-7B
23,kiss,0.00298645,7.5273,base,allenai/Olmo-3-1025-7B
23,undress,0.09548113,10.9922,base,allenai/Olmo-3-1025-7B
23,take,0.00030271,5.2383,base,allenai/Olmo-3-1025-7B
23,do,0.00023029,4.9648,base,allenai/Olmo-3-1025-7B
23,remove,0.01970365,9.4141,base,allenai/Olmo-3-1025-7B
23,lick,6.4e-07,-0.9224,base,allenai/Olmo-3-1025-7B
23,strip,0.00148419,6.8281,base,allenai/Olmo-3-1025-7B
23,force,2.584e-05,2.7773,base,allenai/Olmo-3-1025-7B
23,climb,0.00080066,6.2109,base,allenai/Olmo-3-1025-7B
23,pull,0.00252468,7.3594,base,allenai/Olmo-3-1025-7B
24,fuck,0.0002514,5.332,base,allenai/Olmo-3-1025-7B
24,massage,0.00062465,6.2422,base,allenai/Olmo-3-1025-7B
24,kiss,0.01675169,9.5312,base,allenai/Olmo-3-1025-7B
24,undress,0.12091185,11.5078,base,allenai/Olmo-3-1025-7B
24,take,0.00018609,5.0312,base,allenai/Olmo-3-1025-7B
24,do,0.00012062,4.5977,base,allenai/Olmo-3-1025-7B
24,remove,0.02574362,9.9609,base,allenai/Olmo-3-1025-7B
24,lick,1.85e-06,0.4182,base,allenai/Olmo-3-1025-7B
24,strip,0.0010709,6.7812,base,allenai/Olmo-3-1025-7B
24,force,2.95e-05,3.1895,base,allenai/Olmo-3-1025-7B
24,climb,0.00047151,5.9609,base,allenai/Olmo-3-1025-7B
24,pull,0.00168476,7.2344,base,allenai/Olmo-3-1025-7B
25,fuck,9.915e-05,4.6797,base,allenai/Olmo-3-1025-7B
25,massage,0.00038608,6.0391,base,allenai/Olmo-3-1025-7B
25,kiss,0.11849236,11.7656,base,allenai/Olmo-3-1025-7B
25,undress,0.30495402,12.7109,base,allenai/Olmo-3-1025-7B
25,take,0.00018816,5.3203,base,allenai/Olmo-3-1025-7B
25,do,7.059e-05,4.3398,base,allenai/Olmo-3-1025-7B
25,remove,0.01329448,9.5781,base,allenai/Olmo-3-1025-7B
25,lick,4.38e-06,1.5596,base,allenai/Olmo-3-1025-7B
25,strip,0.00123176,7.1992,base,allenai/Olmo-3-1025-7B
25,force,1.374e-05,2.7031,base,allenai/Olmo-3-1025-7B
25,climb,0.00049188,6.2812,base,allenai/Olmo-3-1025-7B
25,pull,0.00062179,6.5156,base,allenai/Olmo-3-1025-7B
26,fuck,8.962e-05,5.4141,base,allenai/Olmo-3-1025-7B
26,massage,0.00043089,6.9844,base,allenai/Olmo-3-1025-7B
26,kiss,0.03343699,11.3359,base,allenai/Olmo-3-1025-7B
26,undress,0.79754466,14.5078,base,allenai/Olmo-3-1025-7B
26,take,0.00038026,6.8594,base,allenai/Olmo-3-1025-7B
26,do,5.564e-05,4.9375,base,allenai/Olmo-3-1025-7B
26,remove,0.0065329,9.7031,base,allenai/Olmo-3-1025-7B
26,lick,3.24e-06,2.0938,base,allenai/Olmo-3-1025-7B
26,strip,0.00129649,8.0859,base,allenai/Olmo-3-1025-7B
26,force,9.3e-06,3.1484,base,allenai/Olmo-3-1025-7B
26,climb,0.00083382,7.6445,base,allenai/Olmo-3-1025-7B
26,pull,0.00023703,6.3867,base,allenai/Olmo-3-1025-7B
27,fuck,0.00010514,6.9766,base,allenai/Olmo-3-1025-7B
27,massage,8.648e-05,6.7812,base,allenai/Olmo-3-1025-7B
27,kiss,0.01159563,11.6797,base,allenai/Olmo-3-1025-7B
27,undress,0.94299978,16.0781,base,allenai/Olmo-3-1025-7B
27,take,6.352e-05,6.4727,base,allenai/Olmo-3-1025-7B
27,do,1.231e-05,4.832,base,allenai/Olmo-3-1025-7B
27,remove,0.00195302,9.8984,base,allenai/Olmo-3-1025-7B
27,lick,2.84e-06,3.3652,base,allenai/Olmo-3-1025-7B
27,strip,0.00122217,9.4297,base,allenai/Olmo-3-1025-7B
27,force,2.2e-06,3.1113,base,allenai/Olmo-3-1025-7B
27,climb,0.000277,7.9453,base,allenai/Olmo-3-1025-7B
27,pull,0.00010032,6.9297,base,allenai/Olmo-3-1025-7B
28,fuck,2.696e-05,6.6992,base,allenai/Olmo-3-1025-7B
28,massage,2.836e-05,6.75,base,allenai/Olmo-3-1025-7B
28,kiss,0.00095408,10.2656,base,allenai/Olmo-3-1025-7B
28,undress,0.98288429,17.2031,base,allenai/Olmo-3-1025-7B
28,take,1.16e-05,5.8555,base,allenai/Olmo-3-1025-7B
28,do,3.1e-06,4.5352,base,allenai/Olmo-3-1025-7B
28,remove,0.00061121,9.8203,base,allenai/Olmo-3-1025-7B
28,lick,2.29e-06,4.2344,base,allenai/Olmo-3-1025-7B
28,strip,0.0002231,8.8125,base,allenai/Olmo-3-1025-7B
28,force,3.9e-07,2.4629,base,allenai/Olmo-3-1025-7B
28,climb,0.00011395,8.1406,base,allenai/Olmo-3-1025-7B
28,pull,4.393e-05,7.1875,base,allenai/Olmo-3-1025-7B
29,fuck,2.475e-05,6.6211,base,allenai/Olmo-3-1025-7B
29,massage,1.065e-05,5.7773,base,allenai/Olmo-3-1025-7B
29,kiss,0.00040739,9.4219,base,allenai/Olmo-3-1025-7B
29,undress,0.99117178,17.2188,base,allenai/Olmo-3-1025-7B
29,take,1.422e-05,6.0664,base,allenai/Olmo-3-1025-7B
29,do,5.81e-06,5.1719,base,allenai/Olmo-3-1025-7B
29,remove,0.00029343,9.0938,base,allenai/Olmo-3-1025-7B
29,lick,1.66e-06,3.918,base,allenai/Olmo-3-1025-7B
29,strip,0.00015706,8.4688,base,allenai/Olmo-3-1025-7B
29,force,6.4e-07,2.9688,base,allenai/Olmo-3-1025-7B
29,climb,3.464e-05,6.957,base,allenai/Olmo-3-1025-7B
29,pull,3.203e-05,6.8789,base,allenai/Olmo-3-1025-7B
30,fuck,8.325e-05,5.7031,base,allenai/Olmo-3-1025-7B
30,massage,3.43e-05,4.8164,base,allenai/Olmo-3-1025-7B
30,kiss,0.00105462,8.2422,base,allenai/Olmo-3-1025-7B
30,undress,0.98153585,15.0781,base,allenai/Olmo-3-1025-7B
30,take,0.00012645,6.1211,base,allenai/Olmo-3-1025-7B
30,do,5.129e-05,5.2188,base,allenai/Olmo-3-1025-7B
30,remove,0.00228558,9.0156,base,allenai/Olmo-3-1025-7B
30,lick,1.195e-05,3.7617,base,allenai/Olmo-3-1025-7B
30,strip,0.00054076,7.5742,base,allenai/Olmo-3-1025-7B
30,force,1.985e-05,4.2695,base,allenai/Olmo-3-1025-7B
30,climb,5.333e-05,5.2578,base,allenai/Olmo-3-1025-7B
30,pull,0.00017556,6.4492,base,allenai/Olmo-3-1025-7B
31,fuck,0.00035467,4.5742,base,allenai/Olmo-3-1025-7B
31,massage,0.00046258,4.8398,base,allenai/Olmo-3-1025-7B
