corpus_id,variant,author,idx,n_chars,n_words,blt_bits_per_char
human/basic/mansfield,basic,mansfield,0,516,100,1.2943529988222395
human/basic/mansfield,basic,mansfield,1,533,100,1.3582188853943595
human/basic/mansfield,basic,mansfield,2,548,100,1.4713664987024844
human/basic/mansfield,basic,mansfield,3,535,100,1.9426228500476725
human/basic/mansfield,basic,mansfield,4,552,100,1.6932500604391363
human/basic/mansfield,basic,mansfield,5,568,100,1.2235016590084336
human/basic/mansfield,basic,mansfield,6,496,100,1.3176436309012
human/basic/mansfield,basic,mansfield,7,512,100,1.4259400540683882
human/basic/mansfield,basic,mansfield,8,495,100,1.3436177403657568
human/basic/mansfield,basic,mansfield,9,527,100,1.4244214470923335
human/basic/mansfield,basic,mansfield,10,512,100,1.6862180342714543
human/basic/mansfield,basic,mansfield,11,559,100,1.3201331002643273
human/basic/mansfield,basic,mansfield,12,543,100,1.2788527083889787
human/basic/mansfield,basic,mansfield,13,578,100,1.396241747886814
human/basic/mansfield,basic,mansfield,14,525,100,1.2226422776969752
human/basic/mansfield,basic,mansfield,15,512,100,1.351540383520296
human/basic/mansfield,basic,mansfield,16,527,100,1.348757799575732
human/basic/mansfield,basic,mansfield,17,544,100,1.5058396361438129
human/basic/mansfield,basic,mansfield,18,534,100,1.7601970975992396
human/basic/mansfield,basic,mansfield,19,566,100,1.6212966086611496
human/basic/mansfield,basic,mansfield,20,534,100,1.5760585213137406
human/basic/mansfield,basic,mansfield,21,530,100,1.5284746081094598
human/basic/mansfield,basic,mansfield,22,539,100,1.40592365102054
human/basic/mansfield,basic,mansfield,23,500,100,1.4776226303509972
human/basic/mansfield,basic,mansfield,24,520,100,1.5503707504597994
human/basic/mansfield,basic,mansfield,25,548,100,1.4484426536868984
human/basic/mansfield,basic,mansfield,26,516,100,1.2725364302097273
human/basic/mansfield,basic,mansfield,27,568,100,1.474098295602058
human/basic/mansfield,basic,mansfield,28,535,100,1.3402278278567918
human/basic/mansfield,basic,mansfield,29,554,100,1.5855412409993477
human/basic/mansfield,basic,mansfield,30,515,100,1.5139815442763598
human/basic/mansfield,basic,mansfield,31,585,100,1.1844695869953625
human/basic/mansfield,basic,mansfield,32,520,100,1.3482645467529935
human/basic/mansfield,basic,mansfield,33,580,100,1.6325066963108594
human/basic/mansfield,basic,mansfield,34,531,100,1.4257032992962702
human/basic/mansfield,basic,mansfield,35,548,100,1.7811331321607438
human/basic/mansfield,basic,mansfield,36,567,100,1.324756375179494
human/basic/mansfield,basic,mansfield,37,555,100,1.2555243285796847
human/basic/mansfield,basic,mansfield,38,526,100,1.3194713971844294
human/basic/mansfield,basic,mansfield,39,541,100,1.5171815725203974
human/basic/mansfield,basic,mansfield,40,515,100,2.018909951681403
human/basic/mansfield,basic,mansfield,41,536,100,1.4867634748916723
human/basic/mansfield,basic,mansfield,42,553,100,1.2839325824408432
human/basic/mansfield,basic,mansfield,43,551,100,1.4167286022463792
human/basic/mansfield,basic,mansfield,44,543,100,1.5147609671149493
human/basic/mansfield,basic,mansfield,45,564,100,1.4773355812838695
human/basic/mansfield,basic,mansfield,46,541,100,1.305904883900218
human/basic/mansfield,basic,mansfield,47,537,100,1.3923992529374067
human/basic/mansfield,basic,mansfield,48,513,100,1.8182282798974019
human/basic/mansfield,basic,mansfield,49,559,100,1.481876340101212
human/basic/mansfield,basic,mansfield,50,536,100,1.2212558867267258
human/basic/mansfield,basic,mansfield,51,535,100,1.5623095046431439
human/basic/mansfield,basic,mansfield,52,468,100,1.362572669620258
human/basic/mansfield,basic,mansfield,53,523,100,1.2831373829652384
human/basic/mansfield,basic,mansfield,54,513,100,1.345199110700483
human/basic/mansfield,basic,mansfield,55,519,100,1.1555021802827845
human/basic/mansfield,basic,mansfield,56,521,100,1.4042426838648594
human/basic/mansfield,basic,mansfield,57,520,100,1.4594314046571994
human/basic/mansfield,basic,mansfield,58,527,100,1.9023177722700628
human/basic/mansfield,basic,mansfield,59,473,100,1.3657556587704474
human/basic/mansfield,basic,mansfield,60,545,100,1.0850701937695868
human/basic/mansfield,basic,mansfield,61,216,39,1.496383150011513
