family,pair,layer,prompt,pole1_mass,pole2_mass,blend_mass,in_frame,remainder
amber,trust/fear,dpo,B,0.09099915430639773,0.16330204777297144,0.13661776888803123,0.3909189709674004,0.6090810290325996
amber,trust/fear,dpo,AB,0.25763180068356023,0.0211583470992543,0.1929669754379361,0.4717571232207506,0.5282428767792494
amber,beautiful/disgusting,base,A,0.14358700573502123,0.03402218948920187,0.028886143783549624,0.2064953390077727,0.7935046609922273
amber,beautiful/disgusting,base,B,0.012487082136907725,0.15484807307204268,0.04470320567666746,0.21203836088561787,0.7879616391143821
amber,beautiful/disgusting,base,AB,0.11952757854185994,0.05101418281067618,0.03834960646625127,0.2088913678187874,0.7911086321812126
amber,beautiful/disgusting,sft,A,0.1694792678583245,0.02237025903013782,0.014674652687789152,0.20652417957625147,0.7934758204237485
amber,beautiful/disgusting,sft,B,0.005949708292123711,0.39150650405101883,0.02000283526709294,0.4174590476102355,0.5825409523897644
amber,beautiful/disgusting,sft,AB,0.23484542223599678,0.05502106728215278,0.02483838837438265,0.31470487789253215,0.6852951221074679
amber,beautiful/disgusting,dpo,A,0.06019537852011577,0.01592003128598123,0.014222173998235357,0.09033758380433236,0.9096624161956677
amber,beautiful/disgusting,dpo,B,0.006539484666993544,0.3401598173494273,0.15298046387494912,0.49967976589137,0.50032023410863
amber,beautiful/disgusting,dpo,AB,0.21173492381127768,0.04432918782850899,0.011426761314402248,0.2674908729541889,0.7325091270458111
amber,obey/rebel,base,A,0.2280820408257609,0.013498201374645588,0.10271228048615894,0.3442925226865654,0.6557074773134346
amber,obey/rebel,base,B,0.14239962247544194,0.08673528712360357,0.14128526511838227,0.3704201747174278,0.6295798252825722
amber,obey/rebel,base,AB,0.2281287698651096,0.03020479386784369,0.16409294435724706,0.4224265080902003,0.5775734919097997
amber,obey/rebel,sft,A,0.39153363316453227,0.012373111457340337,0.09099798874225272,0.4949047333641253,0.5050952666358747
amber,obey/rebel,sft,B,0.1812662351315101,0.17179589258639746,0.13908833575668653,0.4921504634745941,0.5078495365254059
amber,obey/rebel,sft,AB,0.4314695263059578,0.01814654056382567,0.115682347853754,0.5652984147235375,0.4347015852764625
amber,obey/rebel,dpo,A,0.601165650304701,0.0060023416511977125,0.04121974132849004,0.6483877332843888,0.3516122667156112
amber,obey/rebel,dpo,B,0.19409225187307713,0.16062079743398408,0.13488256111721447,0.4895956104242757,0.5104043895757243
amber,obey/rebel,dpo,AB,0.4385005018466979,0.02577462910562822,0.11412907124516136,0.5784042021974876,0.42159579780251244
amber,pleasure/pain,base,A,0.11737039538189999,0.047903491734250694,0.1774335699660084,0.3427074570821591,0.6572925429178409
amber,pleasure/pain,base,B,0.031176011499395632,0.4192009721766643,0.1177969093413603,0.5681738930174203,0.4318261069825797
amber,pleasure/pain,base,AB,0.08059991542424821,0.0803090414853818,0.18430049095051085,0.34520944786014085,0.6547905521398591
amber,pleasure/pain,sft,A,0.08580094075113588,0.03290039485241422,0.3161038981692527,0.43480523377280283,0.5651947662271972
amber,pleasure/pain,sft,B,0.01388291834741285,0.6419030910243952,0.07146652405165901,0.7272525334234671,0.2727474665765329
amber,pleasure/pain,sft,AB,0.06769000724496316,0.07246509867294798,0.22820977255294791,0.3683648784708591,0.6316351215291409
amber,pleasure/pain,dpo,A,0.17145048402029386,0.017259548265777334,0.3023835343134847,0.4910935665995559,0.5089064334004441
amber,pleasure/pain,dpo,B,0.0041874496618746265,0.7102020123883533,0.058843339570714005,0.773232801620942,0.226767198379058
amber,pleasure/pain,dpo,AB,0.05012753111757442,0.19655218326811771,0.21388431130578456,0.4605640256914767,0.5394359743085233
qwen,love/hate,base,A,0.3242620027635141,0.0027382077096017553,0.0943218590514721,0.42132206952458795,0.578677930475412
qwen,love/hate,base,B,0.02289648630747971,0.2830187173667576,0.03703607435455548,0.34295127802879277,0.6570487219712072
qwen,love/hate,base,AB,0.2593095572127242,0.3105698244285666,0.0538769207036162,0.623756302344907,0.376243697655093
qwen,love/hate,dpo,A,0.3875740527159944,0.0006638678845009938,0.11031519460263252,0.4985531152031279,0.501446884796872
qwen,love/hate,dpo,B,0.02008562537829134,0.34810284838667593,0.023714675261663754,0.39190314902663104,0.608096850973369
qwen,love/hate,dpo,AB,0.33940559728976,0.30494488412574705,0.04843759947627075,0.6927880808917778,0.3072119191082222
