family,direction,category,position,mean_resist,std_resist,n
olmo-hybrid,reverse,neutral,2,0.41773579412428885,1.0556495408666628,1400
olmo-hybrid,reverse,neutral,3,0.4279393610180107,0.9692614125458445,1400
olmo-hybrid,reverse,neutral,4,1.098366314546639,2.5868372990047837,1400
olmo-hybrid,reverse,neutral,5,0.502842803491113,1.0038037659236532,1400
olmo-hybrid,reverse,neutral,6,0.6213049506764667,1.5349763471711817,1400
olmo-hybrid,reverse,neutral,7,0.6950464664593153,1.3443406580402952,1400
olmo-hybrid,reverse,neutral,8,0.5896744840149225,1.0886723431675673,1400
olmo-hybrid,reverse,neutral,9,0.5858343918484925,1.3005485125806373,1400
phi4,reverse,violence_explicit,0,0.10904116395867076,0.4123146823840567,500
phi4,reverse,violence_explicit,1,0.19675548918149038,0.6732329379964251,500
phi4,reverse,violence_explicit,2,-0.2770435335979102,0.786410205924878,500
phi4,reverse,violence_explicit,3,-0.000932140735365369,0.4640040154911618,500
phi4,reverse,violence_explicit,4,0.11728370970638818,0.6478771996662627,500
phi4,reverse,violence_explicit,5,0.10628006406745841,0.5079527504752865,500
phi4,reverse,violence_explicit,6,0.14480018272914463,0.6249459608009525,500
phi4,reverse,violence_explicit,7,0.046480555369756996,0.47913425579308727,500
phi4,reverse,violence_explicit,8,0.10754851027528432,0.5486882871608835,500
phi4,reverse,violence_explicit,9,0.1824894914711239,0.8779898974254597,500
falcon3-mamba,reverse,institutional,0,1.5822887742680927,2.110405270405083,2400
falcon3-mamba,reverse,institutional,1,0.790916473970795,0.871004636947167,2400
falcon3-mamba,reverse,institutional,2,0.13179059400704318,2.499260782275184,2400
falcon3-mamba,reverse,institutional,3,-0.6216791348044638,2.5590723492860135,2400
falcon3-mamba,reverse,institutional,4,0.01924014155767329,2.499892196314291,2400
falcon3-mamba,reverse,institutional,5,0.06842216866140345,2.710815814144288,2400
falcon3-mamba,reverse,institutional,6,0.32657630347693173,2.706951454679107,2400
falcon3-mamba,reverse,institutional,7,-0.4948379883117099,3.1828408512650532,2400
falcon3-mamba,reverse,institutional,8,-0.5749294748043482,2.9150337483311013,2395
falcon3-mamba,reverse,institutional,9,-0.8550518115232871,2.7166400568499096,2349
olmo,reverse,neutral,0,2.245277590698426,2.3143858437672193,2100
olmo,reverse,neutral,1,1.1993279663872065,2.093715968297325,2100
olmo,reverse,neutral,2,1.4795683070146428,3.3549836980598924,2100
olmo,reverse,neutral,3,1.4707946976812443,2.161834048568007,2100
olmo,reverse,neutral,4,1.0614003677360675,1.9174340363119085,2100
olmo,reverse,neutral,5,1.4908407002347204,3.3851411989381317,2100
olmo,reverse,neutral,6,1.8051598956555508,3.9420658161236584,2100
olmo,reverse,neutral,7,1.41827413779571,2.661105529924796,2100
olmo,reverse,neutral,8,1.3808151578016115,2.7417664500086922,2100
olmo,reverse,neutral,9,1.3128201897921525,2.7444769138228398,2099
olmo-tiny,reverse,sexual_explicit,0,1.7758859964018645,1.633071206704421,1500
olmo-tiny,reverse,sexual_explicit,1,0.38928073263115764,0.7383717638234888,1500
olmo-tiny,reverse,sexual_explicit,2,0.8242782060726964,0.9599029188072308,1500
olmo-tiny,reverse,sexual_explicit,3,1.221575636159811,1.1048601750692566,1500
olmo-tiny,reverse,sexual_explicit,4,0.8143572716259233,1.1345860585655423,1500
olmo-tiny,reverse,sexual_explicit,5,0.7400504305139417,1.0377109784108103,1500
olmo-tiny,reverse,sexual_explicit,6,0.9046156083125662,1.4079016089533825,1500
olmo-tiny,reverse,sexual_explicit,7,0.8661517509283931,1.2013134163218877,1500
olmo-tiny,reverse,sexual_explicit,8,0.8586327511723038,1.562842236900505,1500
olmo-tiny,reverse,sexual_explicit,9,0.6558833997938198,1.271474743850741,1500
tulu,reverse,substance,0,0.996983192575742,0.6349141583389832,1500
tulu,reverse,substance,1,0.21138150148405638,0.4345569446347844,1500
tulu,reverse,substance,2,0.3848733390170384,0.5771701240856988,1500
tulu,reverse,substance,3,0.2757253406500537,0.5497025123314085,1500
tulu,reverse,substance,4,0.38258362812580526,0.57514091010623,1500
tulu,reverse,substance,5,0.3546352486570918,0.5139343947923304,1500
tulu,reverse,substance,6,0.3295689215532175,0.5006637495942826,1500
tulu,reverse,substance,7,0.35658004198780985,0.56687836848559,1500
tulu,reverse,substance,8,0.32087080656704436,0.6123357926934437,1500
tulu,reverse,substance,9,0.35550098201839286,0.6851022362606191,1500
olmo-tiny,forward,profanity,0,-0.15231781220655027,1.7731666027488946,6000
olmo-tiny,forward,profanity,1,0.24447358071331382,1.4419205224801914,6000
olmo-tiny,forward,profanity,2,0.17437818797903737,0.9008997459942609,6000
olmo-tiny,forward,profanity,3,0.3328336583376682,1.0805141312195474,6000
olmo-tiny,forward,profanity,4,0.301009289221118,0.9612783014203641,6000
olmo-tiny,forward,profanity,5,0.4077073664446619,0.913966482700918,6000
olmo-tiny,forward,profanity,6,0.36381719728948975,0.9322693224159156,6000
olmo-tiny,forward,profanity,7,0.45835581056778824,1.2022235811863213,6000
olmo-tiny,forward,profanity,8,0.39702147458517634,1.010173875745304,5993
olmo-tiny,forward,profanity,9,0.37310148535374943,1.0884248939089198,5976
olmo-tiny,forward,profanity,10,0.3681398744744296,1.0886779047361739,3610
archangel-ppo,reverse,institutional,0,0.10627593026320574,0.23989073058797528,2400
archangel-ppo,reverse,institutional,1,0.2268471429821761,0.27206764322691707,2400
archangel-ppo,reverse,institutional,2,0.14036215712356007,0.18616955298896998,2400
archangel-ppo,reverse,institutional,3,0.20719484548542752,0.2619447518422155,2400
archangel-ppo,reverse,institutional,4,0.1340241522085242,0.1724960413215583,2400
archangel-ppo,reverse,institutional,5,0.15015759412987822,0.31552444808092006,2400
archangel-ppo,reverse,institutional,6,0.16230815875184348,0.5566287489897276,2400
archangel-ppo,reverse,institutional,7,0.1587664027507803,0.6132141438234722,2400
archangel-ppo,reverse,institutional,8,0.5560014806245174,1.9055216173801892,2400
archangel-ppo,reverse,institutional,9,0.4763053410250606,1.9964303753819082,2274
map-neo,reverse,institutional,0,15.20913677468067,5.253414302739388,4800
map-neo,reverse,institutional,1,6.965730846286934,5.115988822505444,4799
map-neo,reverse,institutional,2,4.883890658932972,5.130281576912191,4798
map-neo,reverse,institutional,3,4.066095019501266,4.635824410064916,4798
map-neo,reverse,institutional,4,3.3108996239765838,4.398084288522058,4798
map-neo,reverse,institutional,5,2.7466558045512075,3.8394658192243774,4798
map-neo,reverse,institutional,6,2.3969697879806997,3.940085421783982,4798
map-neo,reverse,institutional,7,2.559760731224781,3.8277157506329367,4798
map-neo,reverse,institutional,8,2.1990925684347036,3.7039729807167228,4784
map-neo,reverse,institutional,9,1.6425666397064935,3.322477077236138,4536
phi4,reverse,sexual_liminal,0,0.28906983562843697,0.676820818647478,700
phi4,reverse,sexual_liminal,1,-0.08432678003804855,0.30937036641601345,700
phi4,reverse,sexual_liminal,2,-0.015491883435097057,0.30951253456857003,700
phi4,reverse,sexual_liminal,3,0.10842017645589996,0.43403731106271254,700
phi4,reverse,sexual_liminal,4,-0.014205078207811148,0.4258092895387176,700
phi4,reverse,sexual_liminal,5,0.000603289358464037,0.48368244895053075,700
phi4,reverse,sexual_liminal,6,0.11717951151594483,0.49869144851066743,700
phi4,reverse,sexual_liminal,7,0.05859671299189014,0.5586192411834443,700
phi4,reverse,sexual_liminal,8,0.07208939818818381,0.5448008755557326,700
phi4,reverse,sexual_liminal,9,0.14868344270692477,0.6527304696475208,700
llama,forward,violence_explicit,0,-0.026561556583638814,1.4487113427199374,17000
llama,forward,violence_explicit,1,0.8774293315505801,3.857784465383212,17000
