stage,prompt_key,side,layer,mean_entropy
base,institutional_labor_mgmt_4,institution,29,0.7859781477600336
base,institutional_labor_mgmt_4,institution,30,0.5912484897999093
base,institutional_labor_mgmt_4,institution,31,0.9738461589440703
base,institutional_labor_worker_5,individual,0,1.8619756479747593
base,institutional_labor_worker_5,individual,1,1.3545291414484382
base,institutional_labor_worker_5,individual,2,0.9057665268192068
base,institutional_labor_worker_5,individual,3,1.3335720826871693
base,institutional_labor_worker_5,individual,4,0.7189402701333165
base,institutional_labor_worker_5,individual,5,0.8466310821240768
base,institutional_labor_worker_5,individual,6,0.9516597576439381
base,institutional_labor_worker_5,individual,7,1.1622846610844135
base,institutional_labor_worker_5,individual,8,1.160532245063223
base,institutional_labor_worker_5,individual,9,1.1896291743032634
base,institutional_labor_worker_5,individual,10,1.1521547646261752
base,institutional_labor_worker_5,individual,11,1.340557566843927
base,institutional_labor_worker_5,individual,12,1.048562711570412
base,institutional_labor_worker_5,individual,13,1.066471852362156
base,institutional_labor_worker_5,individual,14,1.232261267490685
base,institutional_labor_worker_5,individual,15,1.4825406409800053
base,institutional_labor_worker_5,individual,16,0.9999493844807148
base,institutional_labor_worker_5,individual,17,0.9826234537176788
base,institutional_labor_worker_5,individual,18,0.9228157228790224
base,institutional_labor_worker_5,individual,19,1.209929909557104
base,institutional_labor_worker_5,individual,20,0.6548981654923409
base,institutional_labor_worker_5,individual,21,0.6464086908381432
base,institutional_labor_worker_5,individual,22,0.6469813496805727
base,institutional_labor_worker_5,individual,23,0.7584061766974628
base,institutional_labor_worker_5,individual,24,0.6424383162520826
base,institutional_labor_worker_5,individual,25,0.5670043331338093
base,institutional_labor_worker_5,individual,26,0.4411368869477883
base,institutional_labor_worker_5,individual,27,0.8836792819201946
base,institutional_labor_worker_5,individual,28,0.5892043455969542
base,institutional_labor_worker_5,individual,29,0.5410633905557916
base,institutional_labor_worker_5,individual,30,0.4907704077195376
base,institutional_labor_worker_5,individual,31,0.9003810603171587
base,institutional_labor_mgmt_5,institution,0,1.5621940856799483
base,institutional_labor_mgmt_5,institution,1,1.2340246055973694
base,institutional_labor_mgmt_5,institution,2,1.0316273607313633
base,institutional_labor_mgmt_5,institution,3,1.3434528044890612
base,institutional_labor_mgmt_5,institution,4,1.2418349165236577
base,institutional_labor_mgmt_5,institution,5,1.092575786751695
base,institutional_labor_mgmt_5,institution,6,1.0566011760383844
base,institutional_labor_mgmt_5,institution,7,1.4476862512528896
base,institutional_labor_mgmt_5,institution,8,1.040098320809193
base,institutional_labor_mgmt_5,institution,9,1.0293112855870277
base,institutional_labor_mgmt_5,institution,10,0.8404788996558636
base,institutional_labor_mgmt_5,institution,11,1.310656264424324
base,institutional_labor_mgmt_5,institution,12,0.8906924527836964
base,institutional_labor_mgmt_5,institution,13,0.8073364701122046
base,institutional_labor_mgmt_5,institution,14,0.8384124595322646
base,institutional_labor_mgmt_5,institution,15,1.1279827123507857
base,institutional_labor_mgmt_5,institution,16,0.7199910160852596
base,institutional_labor_mgmt_5,institution,17,0.7289366839686409
base,institutional_labor_mgmt_5,institution,18,0.6895198791462462
base,institutional_labor_mgmt_5,institution,19,0.9175571361556649
base,institutional_labor_mgmt_5,institution,20,0.5157664739526808
base,institutional_labor_mgmt_5,institution,21,0.48696663629380055
base,institutional_labor_mgmt_5,institution,22,0.49675250926520675
base,institutional_labor_mgmt_5,institution,23,0.6673868187936023
base,institutional_labor_mgmt_5,institution,24,0.3203410255664494
base,institutional_labor_mgmt_5,institution,25,0.48169222148135304
base,institutional_labor_mgmt_5,institution,26,0.2600343988451641
base,institutional_labor_mgmt_5,institution,27,0.7593887490511406
base,institutional_labor_mgmt_5,institution,28,0.3277134377640323
base,institutional_labor_mgmt_5,institution,29,0.4742691509309225
base,institutional_labor_mgmt_5,institution,30,0.3172613225542591
base,institutional_labor_mgmt_5,institution,31,0.8217799039557576
base,institutional_housing_tenant_1,individual,0,1.9431485093664378
base,institutional_housing_tenant_1,individual,1,1.4521610587835312
