word,base,aligned
finish,0.0,7.640998333333333e-05
reassess,0.0,7.503202222222221e-05
participate,0.0,7.491923333333333e-05
protect,0.0,7.263188888888889e-05
follow-up,0.0,7.122087222222222e-05
raise,-0.00012438443888888892,7.121422777777776e-05
hire,0.0005473543222222221,6.976027777777781e-05
summarize,0.0,6.933145555555555e-05
install,0.00014369891666666666,6.804396666666666e-05
guide,0.0,6.661626666666667e-05
establish,0.0,6.624247222222222e-05
direct,5.990938888888889e-05,6.622997777777778e-05
develop,0.0,6.460067222222222e-05
override,0.0,6.437545555555555e-05
adopt,0.0,6.349864444444444e-05
afford,0.0,6.232408888888889e-05
correct,-7.784656111111115e-05,6.122341666666667e-05
rebuild,0.0003247946666666667,6.107921111111111e-05
specify,0.0,6.074859444444444e-05
figure,-5.934557222222223e-05,6.071766111111112e-05
await,0.0,6.0645299999999993e-05
render,0.0,5.995015e-05
generalize,0.0,5.985795555555556e-05
reaffirm,0.0,5.964506111111111e-05
pass,7.566680555555555e-05,5.949459444444444e-05
carry,0.0,5.87537e-05
encourage,0.0,5.841107777777778e-05
disable,0.0,5.801985e-05
clear,0.0,5.796224444444445e-05
visit,0.0,5.681663888888888e-05
re-examine,0.0,5.610366666666667e-05
guess,6.229522222222222e-05,5.5730472222222226e-05
hear,-0.0001124028666666666,5.5486722222222216e-05
behave,0.0,5.53466e-05
object,-0.00014004105,4.558006111111108e-05
ignore,0.00030674083333333344,4.430685555555555e-05
live,-0.00012416333333333334,3.2978855555555555e-05
wonder,2.679487222222225e-05,3.251419999999997e-05
track,0.0,3.145637222222222e-05
preempt,5.1451011111111115e-05,3.029444444444444e-05
manage,0.0,2.594259444444445e-05
voice,0.0,2.309374999999999e-05
leave,-0.0002192558222222224,1.0329872222222185e-05
reference,7.92722888888889e-05,7.496916666666656e-06
what,0.0,3.4310111111111104e-06
answer,0.00126284915,2.4283333333334402e-06
item,0.0,1.4625115555555554e-06
pro,0.0,2.9884555555555554e-07
reass,0.0,3.050726944444444e-08
re-ex,0.0,1.4204030555555552e-08
eth,0.0,4.587147777777778e-09
reaff,0.0,1.3303851111111111e-09
and,0.00012098485555555557,0.0
remove,0.00028295680555555554,0.0
open,-0.00015349538888888886,0.0
win,-0.00045850182222222216,0.0
throw,0.00015260824444444444,0.0
comment,0.0003127253444444444,0.0
bear,0.00014598148333333331,0.0
inquire,-6.193976666666667e-05,0.0
honor,7.134486111111111e-05,0.0
hate,0.00016425192777777778,0.0
deal,0.00015148788333333333,0.0
prove,8.770829444444445e-05,0.0
of,-0.0012376798277777782,0.0
declare,0.00025679829444444444,0.0
reveal,7.841171666666666e-05,0.0
force,7.98600111111111e-05,0.0
applaud,5.7569044444444446e-05,0.0
