stratum,word,n_lineages,median_delta,lineages_pos,lineages_tested,p,plan_b_word
animal_unmarked,urged,46,0.0001491002,25,46,0.65873808,False
animal_unmarked,y,42,-7.1080618e-07,7,42,1.5097201e-05,False
animal_unmarked,directed,46,0.00012507215,25,46,0.65873808,False
animal_unmarked,struck,46,-0.00067876962,14,46,0.011351591,False
animal_unmarked,milked,40,-0.00071318853,15,40,0.15385994,False
animal_unmarked,tethered,40,-0.0005592595,15,40,0.15385994,False
animal_unmarked,marched,42,-0.00097176863,8,42,6.8771115e-05,False
animal_unmarked,tugged,45,-0.0010546632,7,45,3.1213096e-06,False
animal_unmarked,trotted,45,-0.0011344822,15,45,0.035697804,False
animal_unmarked,milk,43,-0.00028348122,8,43,4.1934158e-05,False
animal_unmarked,hoisted,46,-0.00047362187,16,46,0.054076032,False
animal_unmarked,lead,43,-0.0008303637,14,43,0.031539497,False
animal_unmarked,crossed,46,-0.00060893602,15,46,0.025896082,False
animal_unmarked,draped,40,-0.00023969978,18,40,0.635828,False
animal_unmarked,slung,45,-0.0011496793,17,45,0.13515645,False
animal_unmarked,positioned,44,-7.9956e-06,21,44,0.88039582,False
animal_unmarked,propped,43,-0.0005521169,13,43,0.013718185,False
animal_unmarked,loaded,45,-0.00077913355,18,45,0.23269319,False
animal_unmarked,eased,40,-0.0010054967,12,40,0.016589003,False
animal_unmarked,won,45,0.000582237,27,45,0.23269319,False
animal_unmarked,missed,46,0.0011046281,28,46,0.18392482,False
animal_unmarked,you,42,-0.00042180423,18,42,0.44079907,False
animal_unmarked,whistled,46,-0.0006660464,18,46,0.18392482,False
animal_unmarked,nailed,43,-0.0012322158,13,43,0.013718185,False
animal_unmarked,has,45,-0.0006393882,15,45,0.035697804,False
animal_unmarked,admired,45,0.001429304,37,45,1.537409e-05,False
animal_unmarked,wanted,46,0.00015908095,25,46,0.65873808,False
animal_unmarked,two,45,-0.0011979527,5,45,7.8783842e-08,False
animal_unmarked,captured,45,0.0026427343,33,45,0.0024589003,False
animal_unmarked,documented,45,0.0013975209,35,45,0.00024708778,False
animal_unmarked,spotted,42,0.00038888843,26,42,0.1641494,False
animal_unmarked,named,46,-0.0009693466,18,46,0.18392482,False
animal_unmarked,some,46,-0.0007876854,10,46,0.00015641721,False
animal_unmarked,submitted,40,0.0005562947,23,40,0.42959051,False
animal_unmarked,will,40,-0.00046297555,16,40,0.26818725,False
animal_unmarked,posted,46,-0.00060688115,22,46,0.88299591,False
animal_unmarked,snow,44,-0.0002711176,13,44,0.0095598789,False
animal_unmarked,from,45,-0.0006753758,13,45,0.0066088228,False
animal_unmarked,again,45,-0.0011084068,5,45,7.8783842e-08,False
animal_unmarked,uploaded,43,0.0013482603,24,43,0.54238401,False
animal_unmarked,described,43,0.0002216435,24,43,0.54238401,False
animal_unmarked,published,44,0.00013001935,23,44,0.88039582,False
animal_unmarked,filmed,43,-0.001257507,12,43,0.0054015727,False
animal_unmarked,recorded,45,-0.00011406385,22,45,1,False
animal_unmarked,sprayed,45,-0.001257252,12,45,0.0024589003,False
animal_unmarked,wiped,46,-0.00038324135,13,46,0.0045338616,False
animal_unmarked,sm,40,-8.2230014e-08,13,40,0.038477308,False
animal_unmarked,poked,44,-0.0011237428,8,44,2.5448599e-05,False
animal_unmarked,caused,46,0.0005470345,28,46,0.18392482,False
animal_unmarked,swabbed,43,-0.0010748415,16,43,0.12628947,False
animal_unmarked,twisted,46,-1.49546e-05,23,46,1,False
animal_unmarked,hissed,43,-0.000146963,19,43,0.54238401,False
animal_unmarked,softly,41,0.0009806036,32,41,0.00043085704,False
animal_unmarked,withdrew,45,-0.0012762642,13,45,0.0066088228,False
animal_unmarked,scraped,45,-0.0005065509,17,45,0.13515645,False
animal_unmarked,massaged,44,7.5760125e-05,25,44,0.45138083,False
animal_unmarked,swab,40,-6.5540058e-06,9,40,0.00067954825,False
animal_unmarked,murmured,46,0.0011123802,30,46,0.054076032,False
animal_unmarked,fell,46,-0.0011415462,8,46,9.2476999e-06,False
animal_unmarked,muttered,46,0.001073272,32,46,0.011351591,False
