stratum,labeling,frm,to,fwd,rev,e_fwd,e_rev,reciprocal,p,bonferroni,E,p_edge
m01_unmarked,framenet,Evidence,Scheduling,16,8,7,4,True,0.1515896320343017,False,11,0.548828125
m01_unmarked,framenet,Placing,Questioning,20,7,8,3,True,0.0191572904586792,False,11,0.2265625
m01_unmarked,framenet,Giving,Questioning,30,11,11,7,True,0.0043240049344603,False,18,0.480682373046875
m01_unmarked,framenet,Self_motion,Questioning,33,15,10,7,True,0.013283281562245,False,17,0.629058837890625
m01_unmarked,framenet,Agree_or_refuse_to_act,Remembering_information,17,6,12,4,True,0.0346896648406982,False,16,0.076812744140625
m01_unmarked,framenet,Removing,Questioning,33,4,11,3,True,1.0843941709026694e-06,True,14,0.057373046875
m01_unmarked,framenet,Likelihood,Scheduling,20,1,11,1,True,2.09808349609375e-05,False,12,0.00634765625
m01_unmarked,framenet,Amounting_to,Sign,21,7,10,3,True,0.0125409513711929,False,13,0.09228515625
m01_unmarked,framenet,Resolve_problem,Submitting_documents,11,2,8,2,True,0.0224609375,False,10,0.109375
m01_unmarked,framenet,Statement,Summarizing,27,4,9,1,True,3.39532271027565e-05,False,10,0.021484375
m01_unmarked,framenet,Sign,Cotheme,14,14,7,9,True,1.0,False,16,0.803619384765625
m01_unmarked,framenet,Desirable_event,Sign,15,7,12,4,True,0.1338005065917968,False,16,0.076812744140625
m01_unmarked,framenet,Inclusion,Sign,38,16,17,10,True,0.003838265880326,False,27,0.24778856337070465
m01_unmarked,framenet,Emotions_of_mental_activity,Breathing,14,2,8,2,True,0.004180908203125,False,10,0.109375
m01_unmarked,framenet,Apply_heat,Cause_to_move_in_place,13,11,6,8,True,0.8388197422027588,False,14,0.79052734375
m01_unmarked,framenet,Capacity,Process_start,18,5,8,2,True,0.0106220245361328,False,10,0.109375
m01_unmarked,framenet,Giving,Expectation,38,2,12,2,True,1.4933903003111482e-09,True,14,0.012939453125
m01_unmarked,framenet,Body_movement,Expectation,31,2,9,2,True,1.3085082173347473e-07,True,11,0.0654296875
m01_unmarked,framenet,Replacing,Supply,8,5,6,5,True,0.5810546875,False,11,1.0
m01_unmarked,framenet,Experiencer_obj,Compliance,21,6,12,2,True,0.0059246122837066,False,14,0.012939453125
m01_unmarked,framenet,Distributed_position,Bail_decision,11,5,9,5,True,0.210113525390625,False,14,0.4239501953125
m01_unmarked,framenet,Process_stop,Commonality,9,4,8,2,True,0.266845703125,False,10,0.109375
m01_unmarked,framenet,Appointing,Coming_to_believe,18,7,9,7,True,0.0432852506637573,False,16,0.803619384765625
m01_unmarked,framenet,Making_faces,Inspecting,20,2,11,1,True,0.0001211166381835,False,12,0.00634765625
m01_unmarked,framenet,Perception_active,Silencing,38,5,17,2,True,2.499509719200433e-07,True,19,0.000728607177734375
m01_unmarked,framenet,Cause_to_be_wet,Motion,10,10,7,5,True,1.0,False,12,0.7744140625
m01_unmarked,framenet,Eclipse,Burying,11,3,7,3,True,0.057373046875,False,10,0.34375
m01_unmarked,framenet,Ingestion,Successful_action,17,4,7,3,True,0.0071973800659179,False,10,0.34375
m01_unmarked,framenet,Burying,Intentionally_affect,10,10,7,6,True,1.0,False,13,1.0
m01_unmarked,framenet,Sleep,Undressing,14,4,9,2,True,0.0308837890625,False,11,0.0654296875
m01_unmarked,framenet,Undressing,Residence,12,5,5,5,True,0.143463134765625,False,10,1.0
m01_unmarked,framenet,Attaching,Change_operational_state,11,1,9,1,True,0.00634765625,False,10,0.021484375
m01_unmarked,framenet,Attaching,Purpose,31,4,17,2,True,3.4654513001441956e-06,False,19,0.000728607177734375
m01_unmarked,framenet,Change_position_on_a_scale,Burying,16,11,8,5,True,0.442068338394165,False,13,0.5810546875
m01_unmarked,framenet,Giving,Endeavor_failure,16,6,6,4,True,0.0524787902832031,False,10,0.75390625
m01_unmarked,framenet,Cause_change_of_position_on_a_scale,Intentionally_act,50,3,22,3,True,5.519584789226428e-12,True,25,0.00015652179718017578
m01_unmarked,framenet,Offering,Quitting,9,6,5,5,True,0.6072387695312499,False,10,1.0
m01_unmarked,framenet,Coming_to_believe,Hunting_success_or_failure,20,7,12,4,True,0.0191572904586792,False,16,0.076812744140625
m01_unmarked,framenet,Evidence,Use_firearm,13,13,8,5,True,1.0,False,13,0.5810546875
m01_unmarked,framenet,Likelihood,Inspecting,13,2,9,2,True,0.00738525390625,False,11,0.0654296875
m01_unmarked,framenet,Request,Execution,33,7,10,4,True,4.2277022657799534e-05,False,14,0.1795654296875
m01_unmarked,framenet,Performers_and_roles,Manipulate_into_doing,27,5,8,4,True,0.0001130742020905,False,12,0.3876953125
m01_unmarked,framenet,Quitting_a_place,Deciding,6,6,6,5,True,1.0,False,11,1.0
m01_unmarked,framenet,Attack,Intentionally_affect,34,4,16,2,True,6.038535502739251e-07,True,18,0.001312255859375
m01_unmarked,framenet,Attack,Ingest_substance,21,3,14,2,True,0.0002771615982055,False,16,0.004180908203125
m01_unmarked,framenet,Cotheme,Successful_action,34,5,8,4,True,2.4299079086631536e-06,True,12,0.3876953125
m01_unmarked,framenet,Activity_ongoing,Use_firearm,9,5,6,4,True,0.4239501953125,False,10,0.75390625
m01_unmarked,framenet,Commerce_buy,Departing,59,11,15,6,True,4.466174729063311e-09,True,21,0.0783538818359375
m01_unmarked,framenet,Perception_experience,Finish_competition,11,5,6,5,True,0.210113525390625,False,11,1.0
