field,cluster
verbnet:dress,514
verbnet:drive,401
verbnet:dub,202
verbnet:eat,87
verbnet:engender,286
verbnet:entity_specific_cos,382
verbnet:entity_specific_modes_being,76
verbnet:equip,178
verbnet:escape,423
verbnet:exceed,60
verbnet:exchange,500
verbnet:exhale,240
verbnet:exist,22
verbnet:feeding,89
verbnet:ferret,291
verbnet:fill,370
verbnet:fit,96
verbnet:flinch,392
verbnet:focus,518
verbnet:forbid,121
verbnet:force,216
verbnet:free,480
verbnet:fulfilling,130
verbnet:funnel,194
verbnet:future_having,257
verbnet:get,344
verbnet:give,338
verbnet:gobble,11
verbnet:help,98
verbnet:herd,293
verbnet:hiccup,242
verbnet:hit,470
verbnet:hold,455
verbnet:hunt,290
verbnet:hurt,446
verbnet:illustrate,318
verbnet:image_impression,333
verbnet:indicate,141
verbnet:inquire,267
verbnet:instr_communication,127
verbnet:investigate,165
verbnet:judgement,197
verbnet:keep,35
verbnet:knead,384
verbnet:learn,499
verbnet:lecture,276
verbnet:light_emission,376
verbnet:limit,431
verbnet:linger,433
verbnet:lodge,23
verbnet:long,186
verbnet:manner_speaking,225
verbnet:marry,322
verbnet:marvel,148
verbnet:masquerade,496
verbnet:meander,420
verbnet:meet,28
verbnet:mix,283
verbnet:modes_of_being_with_motion,415
verbnet:murder,487
verbnet:neglect,59
verbnet:nonvehicle,405
verbnet:nonverbal_expression,234
verbnet:obtain,348
verbnet:occurrence,505
verbnet:order,255
verbnet:other_cos,381
verbnet:pay,337
verbnet:peer,167
verbnet:pelt,486
verbnet:performance,304
verbnet:pit,506
verbnet:pocket,461
verbnet:poison,488
verbnet:poke,207
verbnet:pour,366
verbnet:preparing,15
verbnet:push,485
verbnet:put,460
verbnet:put_direction,413
verbnet:put_spatial,434
verbnet:reflexive_appearance,134
verbnet:register,177
verbnet:rely,5
verbnet:remove,520
verbnet:roll,417
verbnet:rummage,449
verbnet:run,421
verbnet:say,274
verbnet:scribble,314
verbnet:search,166
verbnet:see,159
verbnet:send,350
verbnet:settle,252
verbnet:shake,439
verbnet:sight,164
verbnet:simple_dressing,512
verbnet:snooze,95
verbnet:sound_emission,228
verbnet:sound_existence,156
verbnet:spank,13
verbnet:spatial_configuration,538
verbnet:spray,463
verbnet:steal,104
verbnet:stop,116
verbnet:substance_emission,352
verbnet:suffocate,491
verbnet:swat,458
verbnet:tape,437
verbnet:throw,481
verbnet:tingle,188
verbnet:touch,457
verbnet:transcribe,311
verbnet:transfer_mesg,175
verbnet:try,182
verbnet:turn,494
verbnet:urge,73
verbnet:vehicle,403
verbnet:weather,364
verbnet:weekend,37
verbnet:wink,126
verbnet:wipe_instr,250
verbnet:wipe_manner,532
verbnet:wish,184
verbnet:withdraw,9
wordnet:body,233
wordnet:change,504
wordnet:cognition,170
wordnet:communication,270
wordnet:competition,476
wordnet:consumption,87
wordnet:contact,482
wordnet:creation,306
wordnet:emotion,209
wordnet:motion,422
wordnet:perception,169
wordnet:possession,340
wordnet:social,330
wordnet:stative,31
wordnet:unassigned,50
