category,delta,edges_pos,n_edges,lo,hi,mde,p,bonferroni,labeling,cell,coverage,scen,pov,context
Q1.1,0.0005587048573101165,3,41,-6.446810928930561e-05,0.0011818778239095387,0.0008902470951420316,0.08652998815094946,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
Q1.2,-0.008190970667502892,26,41,-0.06699272593131456,0.050610784596308765,0.08400250751973093,0.7862392977840134,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
Q1.3,-0.0011258314924581314,2,41,-0.0030871776374254848,0.0008355146525092219,0.002801923064239076,0.2672698966525633,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
Q2.1,0.020519495007650868,27,41,-0.0075599298729795116,0.048598919888281245,0.04011346411518626,0.15982639888620542,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
Q2.2,0.017152760144855,25,41,-0.009593283638760199,0.0438988039284702,0.03820863397659314,0.21604911418762107,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
Q3,-0.006545529338004823,1,41,-0.011726250733001183,-0.0013648079430084639,0.007401030564280513,0.01760222153650655,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S1.1.2,0.004307214431051355,11,41,0.0016951131427438448,0.006919315719358866,0.0037315732690107297,0.0024635715934641406,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S1.2.1,0.002818751869587557,6,41,0.00036584545638079953,0.005271658282794314,0.0035041520188667957,0.02985856026374972,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S3.1,0.008142710649877148,16,41,0.004054628608427313,0.012230792691326983,0.005840117202071191,0.00035469459728895843,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S5,0.0006208280799385535,3,41,-7.094164401825402e-05,0.001312597803895361,0.0009882424627954392,0.08622572789328305,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S6,0.010154781229120377,26,41,0.0058861358133734795,0.014423426644867274,0.006098064879638425,3.4455298817138136e-05,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S7.1,0.0008579921128342936,3,41,-0.0010825529808787902,0.0027985372065473775,0.002772207276732977,0.3913332651249751,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S7.2,0.0010473033726938919,4,41,-0.00014769574207161053,0.0022423024874593943,0.001707141592522146,0.09357508829714026,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S7.3,0.0012433849862796746,6,41,-0.0010332171948770651,0.003519987167436414,0.003252288830223914,0.2908247400304223,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S7.4,-0.0021542597721803444,5,41,-0.00549817483019042,0.0011896552858297314,0.004777021511442965,0.21401009877468416,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S8,-0.0012932208577181852,8,41,-0.005388149585975073,0.0028017078705387033,0.005849898183224127,0.5394336092969214,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
S9,-0.0009046121315610081,2,41,-0.003976586537879103,0.0021673622747570872,0.004388534866168707,0.5670617099231323,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
T1,-0.019324283496797122,3,41,-0.02641589713643417,-0.012232669857160074,0.010130876628052926,3.973760325632349e-06,True,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
T1.1.2,0.0027067745469404724,6,41,0.000567313770025296,0.004846235323855649,0.0030563725384502517,0.017458580709957674,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
T1.3,-0.00746892251694128,3,41,-0.012357098325800588,-0.0025807467080819716,0.00698310829837044,0.004694948469419882,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
T2,-0.004272068038964475,13,41,-0.013513388568583827,0.004969252490654876,0.013201886470884786,0.3703263121025722,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
T3,0.0011144979922817328,4,41,2.7349404549868728e-05,0.002201646580013597,0.00155306941104552,0.0512854025577888,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
