category,delta,edges_pos,n_edges,lo,hi,mde,p,bonferroni,labeling,cell,coverage,scen,pov,context
peer,0.005468057378477876,18,41,-0.005870688968483225,0.016806803725438975,0.016198209067087285,0.35023124731387745,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
pocket,-0.008359569377833385,4,41,-0.013936819277407812,-0.0027823194782589577,0.007967499856534896,0.0054629320527219095,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
preparing,0.008906573493158211,16,41,0.00494412038125576,0.012869026605060663,0.005660647302717786,7.691358931145906e-05,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
put,-0.009688034703330949,3,41,-0.015299126058848898,-0.004076943347813001,0.00801584479359707,0.0016098080920463336,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
reflexive_appearance,0.0008939111375368864,3,41,-0.0003676238337479215,0.0021554461088216944,0.0018021928161211542,0.17256743828003202,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
remove,-0.0053554361158378375,2,41,-0.012705615079073711,0.001994742847398036,0.010500255661765533,0.16103020212228814,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
say,0.008720185294547655,16,41,-0.018132389301127972,0.03557275989022328,0.03836082085096518,0.5280788068132248,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
send,-0.0030872585244717493,5,41,-0.006878354791422681,0.0007038377424791824,0.005415851809929902,0.11833452157877933,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
simple_dressing,0.00024259293205095041,7,41,-0.004935403452550211,0.005420589316652112,0.007397137692287373,0.9272934951003899,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
tell,-0.0306610247184146,0,41,-0.03816223669927204,-0.02315981273755716,0.010716017115510628,7.627510240181299e-10,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
throw,-0.010558847637874243,1,41,-0.018893191776319315,-0.002224503499429171,0.011906205912064387,0.01731482441187047,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
try,0.001299908262666347,7,41,-0.000938194461752418,0.003538010987085112,0.0031972896063125213,0.26173264598658813,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
urge,0.0009663431671372683,3,41,-0.00035605645835014787,0.0022887427926246845,0.0018891423221248798,0.15983558867152026,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
wink,-0.006982798299610469,8,41,-0.016923811270879538,0.0029582146716586,0.014201447101812956,0.1762471645944665,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
wish,-0.01829236813174344,11,41,-0.03095410667996777,-0.005630629583519108,0.018088197926034756,0.007215727700153578,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
Activity_ongoing,-0.005896608739949563,3,41,-0.011320854577880114,-0.0004723629020190129,0.007748922625615071,0.03931439626103995,False,framenet,C1_indiv,0.8025235633931286,C1,indiv,labor
Adducing,-0.007662185201281168,8,41,-0.015379143039537038,5.4772636974702825e-05,0.011024225483222672,0.058693113724304594,False,framenet,C1_indiv,0.8025235633931286,C1,indiv,labor
Adopt_selection,0.0016889079269968806,5,41,-0.0014928952332959717,0.0048707110872897325,0.004545433086132646,0.30441488275731865,False,framenet,C1_indiv,0.8025235633931286,C1,indiv,labor
Appeal,-0.013631819952673131,18,41,-0.040378213112345344,0.013114573206999082,0.03820913308524602,0.3238228962259839,False,framenet,C1_indiv,0.8025235633931286,C1,indiv,labor
Arriving,0.002915941282009542,6,41,-0.0006386270481559329,0.0064705096121750166,0.00507795475737925,0.11573194607080257,False,framenet,C1_indiv,0.8025235633931286,C1,indiv,labor
Attempt,0.004618621094032293,17,41,-0.00327080883893159,0.012508051026996175,0.011270614189948404,0.2580244385314093,False,framenet,C1_indiv,0.8025235633931286,C1,indiv,labor
Attempt_suasion,0.0006086393281515233,3,41,-0.00017769822591386065,0.0013949768822169072,0.0011233393629505484,0.13711199892687925,False,framenet,C1_indiv,0.8025235633931286,C1,indiv,labor
Attention,-0.00516646714800847,3,41,-0.015348567470364602,0.005015633174347662,0.014545857603365901,0.3259494458769555,False,framenet,C1_indiv,0.8025235633931286,C1,indiv,labor
Awareness,-0.005950899200722785,23,41,-0.02422661375847547,0.012324815357029902,0.02610816365393241,0.5269735279858219,False,framenet,C1_indiv,0.8025235633931286,C1,indiv,labor
Becoming_aware,-0.013381476821319698,11,41,-0.02533692340103032,-0.0014260302416090748,0.0170792093995866,0.03412212176685791,False,framenet,C1_indiv,0.8025235633931286,C1,indiv,labor
