cell,usas,mean_excess,n_pairs,n_obs_used,p
UNMARKED,Z1mf,0.5456605144944541,29,3488,0.06077058491503818
UNMARKED,O1.2,0.5447612883186783,25,820,7.252517274372101e-05
UNMARKED,E4.2,0.5340240935141614,27,2627,0.0017460684049580334
UNMARKED,O4.6,0.5332320284971497,28,6419,1.714992112021808e-08
UNMARKED,X2.4,0.5186512172037048,28,5229,1.2116377087529271e-06
UNMARKED,X6,0.5138419333733756,28,3636,1.1781143565992762e-06
UNMARKED,S2,0.5123104932352297,27,1581,0.2009769583135958
UNMARKED,N3.3,0.5096064237870339,27,1416,0.0005504169552044507
UNMARKED,S1.1.1,0.4840978506303936,28,3918,1.3780046975272437e-05
UNMARKED,N3.7,0.4734202714667798,27,4967,3.885836334358435e-07
UNMARKED,Z3cfn,0.4717515523666976,6,115,0.018070557739541394
UNMARKED,S6,0.4684156098120912,28,7667,2.153678219976526e-06
UNMARKED,N3.2,0.4670007516203215,28,5340,6.381213445140901e-05
UNMARKED,Q4,0.46614665566583874,22,437,0.0035974938943610494
UNMARKED,A13,0.4644150250031154,33,19183,0.005286531388194493
UNMARKED,W4,0.4637190459155853,25,980,0.0004015037781899342
UNMARKED,A5.3,0.4542029215787849,28,4442,1.1900524939518438e-05
UNMARKED,L2mf,0.4487448714739389,21,685,0.011647029614004056
UNMARKED,N6,0.44256792650532717,28,5586,0.0007616023181365324
UNMARKED,S2mfc,0.4401045452344236,24,484,0.0294544689125572
UNMARKED,A1.2,0.4369261000264696,27,1104,0.0017536232210974508
UNMARKED,A1.5.1,0.4325396382172243,28,6938,9.458062479251503e-05
UNMARKED,A1.1.2,0.4283351601981699,28,6028,0.0018973959519600903
UNMARKED,E1,0.4200091070577346,27,1126,0.0022420215624619952
UNMARKED,S1.2.2,0.41940120472781184,14,155,0.010349689542420867
UNMARKED,X2.5,0.41852027255423435,28,3812,0.0009309445932103124
UNMARKED,X2.1,0.41674080548531006,29,18248,3.502974054717951e-05
UNMARKED,Z3,0.41211189313908164,28,5920,3.866206158939079e-05
UNMARKED,A2.1,0.40435373730824453,28,6465,1.804331696183308e-06
UNMARKED,I1.1,0.4040489126366043,28,5568,5.484020200688571e-07
UNMARKED,Z1,0.39224193311777583,26,1357,0.00473194682597599
UNMARKED,S7.2,0.3897114608288332,25,4989,0.0053488264933758845
UNMARKED,Q4.1,0.3894148975483398,29,1210,0.16919947011845454
UNMARKED,Z7,0.3886906640706324,28,12634,0.17956301465944424
UNMARKED,A4.1,0.38656216257548254,29,2277,0.29523722010341086
UNMARKED,Q2.2,0.382770530379526,29,66402,0.03236484907504225
UNMARKED,A11.1,0.3785875892041967,28,4970,0.005669858510513975
UNMARKED,T3,0.3738101177987881,28,7759,2.338937590342803e-07
UNMARKED,W2,0.3735545846759803,28,2924,0.00027082045856783395
UNMARKED,A2.2,0.3682418028416734,28,8130,0.0003136829491414205
UNMARKED,C1,0.3669563120096345,28,4356,0.0003142761885334531
UNMARKED,G2.2,0.3634658747687326,28,1470,0.004394156915340739
UNMARKED,M1,0.36281896214033493,30,108391,0.032923665833717496
UNMARKED,S1.1.3,0.3623214980389959,28,2419,1.2238977974773937e-05
UNMARKED,X2,0.3619007418776286,26,1193,0.000600746010867855
UNMARKED,M3,0.36066449718142357,28,4739,6.120028803069051e-05
UNMARKED,S8,0.35513044587329695,28,39246,0.016624980809623508
UNMARKED,X3.3,0.3506872864925693,25,681,0.03532478622273046
UNMARKED,S7.3,0.35013781493425516,22,712,0.010512268916520538
UNMARKED,A1.7,0.34854373278496753,28,15345,1.87687459998727e-07
UNMARKED,X3,0.3467122694089494,22,1067,0.025278733804404506
UNMARKED,S2mf,0.3464466570246646,26,953,0.036658775736201826
UNMARKED,O1.1,0.34071676246608235,28,7114,6.4634517446681e-05
UNMARKED,S5+c,0.3379220137722402,26,748,0.0008860110730948254
UNMARKED,Z3c,0.3368655644326627,29,23666,0.07712365753740244
UNMARKED,T2,0.3348213667082089,28,27999,6.921957724485737e-08
UNMARKED,S4c,0.3309497097885812,28,1168,0.0069241496265476255
UNMARKED,S3.1,0.3263374074834751,28,5010,3.988030048958748e-06
UNMARKED,S7.4,0.31192796527963385,28,14053,8.03371963623116e-06
UNMARKED,O2,0.30877676668897874,28,8051,6.1013277416854686e-05
UNMARKED,M6,0.30693421188007736,31,67432,0.00021484386978423375
UNMARKED,X3.4,0.3066060227318234,28,35518,6.139430071485911e-07
UNMARKED,Z4,0.30506380551815765,31,15246,1.0764242829758846e-05
UNMARKED,O4.3,0.29903512367737095,28,5982,0.006851580303965757
UNMARKED,S1.2.6,0.2952941459376465,28,677,0.04659123428421029
UNMARKED,A1.8,0.2934976628943618,28,2561,0.00011517075852340336
UNMARKED,M3fn,0.2915960106433301,28,2252,0.02460432533315566
UNMARKED,A1.9,0.2908893645783914,26,687,0.09832359799899
UNMARKED,Q2.1,0.28752459892758153,30,63505,0.43004450984713943
UNMARKED,W5,0.2871610404354863,16,523,0.23839197951031946
UNMARKED,T1.1,0.2822530266522673,23,468,0.019251555811366564
UNMARKED,X2.6,0.28167679791537087,27,2021,0.11001394286639073
UNMARKED,A13.5,0.2796484427179963,7,62,0.6357259223479237
UNMARKED,E2,0.2757587701563108,28,7765,0.0005103803700636591
UNMARKED,A10,0.26376162933325,28,56155,2.3929559279510857e-05
UNMARKED,N5,0.2627529037137661,28,55343,1.3617311823000045e-06
UNMARKED,T4,0.26197014930756846,28,1877,0.006696540800108618
UNMARKED,X2.2,0.2615360178490897,28,15256,0.016056912139093056
UNMARKED,S1.2.5,0.2573094319542611,18,301,0.3207556884424913
UNMARKED,I2.2,0.25670600190048093,28,9871,0.0010519490504747975
UNMARKED,A5.4,0.254111155525566,28,2319,0.0029923088623938633
UNMARKED,W3,0.25312808736862036,27,4995,0.0102689494291433
UNMARKED,I1.3,0.2505768766469823,28,4757,0.0010420658447109806
UNMARKED,S2.2m,0.24083702627659317,28,2156,0.0022627899973220334
UNMARKED,M7,0.2395979719586963,28,2925,0.0053964601802111625
UNMARKED,L2,0.23678953716953924,28,6089,0.004384761431604954
UNMARKED,L2mfnc,0.23603975376068823,16,300,0.31781434689887555
UNMARKED,G1.1,0.232781350558847,27,3499,0.01620058026017883
UNMARKED,Z8mfn,0.2229816264114883,30,32511,0.009312316831320439
UNMARKED,Q4.3,0.21955492109324587,28,2825,0.03951833797759772
UNMARKED,Q1.2,0.21918043123878064,28,32707,4.716469378762133e-05
UNMARKED,A13.7,0.21396243530201092,14,264,0.13739584178584963
UNMARKED,X2.3,0.21337004926873607,22,507,0.3941820748715193
UNMARKED,P1,0.21203416467701958,29,16532,0.0007439132104014617
UNMARKED,B5,0.20890270080972484,28,18240,0.0010001248395452526
UNMARKED,Z1m,0.20865177983141958,28,1809,0.2735059306757166
UNMARKED,O4.1,0.20691878105092718,28,12582,0.3550189355909126
UNMARKED,B4,0.20602603241190426,28,15976,0.00022485130095836875
UNMARKED,K5.1,0.20402752271124494,28,2884,0.021928961169596653
UNMARKED,I2.1,0.20230400300921073,28,4088,0.03649850632462047
UNMARKED,F2,0.2012301976171307,28,8665,0.00011703094743907725
UNMARKED,G1.1c,0.198518092429528,27,1677,0.014437667048236227
UNMARKED,F1,0.1937731189813187,30,29283,7.988729728718967e-05
UNMARKED,L1,0.19364894043122108,28,4681,0.01088187602162123
UNMARKED,A14,0.19172616934668424,28,2628,0.06912326718772681
UNMARKED,T1.1.3,0.19019333092393492,28,1377,0.11234176045415649
UNMARKED,A6.1,0.18700735263009277,28,20024,7.957593550506637e-05
UNMARKED,M5,0.1821980793697893,27,1048,0.09115973536316725
UNMARKED,A5.1,0.18125982664659487,29,55613,1.3248992962087896e-06
UNMARKED,N1,0.17516568416815484,28,12302,0.06887950979054999
UNMARKED,Z2,0.17297061248641904,28,8191,0.06405939649136412
UNMARKED,G3,0.17267768723622792,28,11474,5.4224383004638585e-06
UNMARKED,T1.2,0.17111834499033862,28,5323,0.00034054144543455906
UNMARKED,A13.1,0.1701262137275438,21,314,0.14697163039427688
