word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
so	adverb	0.3641	0.5227	92	0.007908	0.007159
school	noun	0.3566	0.5087	46	0.000769	0.000349
BMW	noun	0.3561	0.5314	34	0.000570	0.000206
far	adjective	0.3547	0.5064	40	0.000654	0.000254
rupees	noun	0.3431	0.5352	45	0.000705	0.000298
putting	verb	0.3377	0.6092	69	0.001560	0.000864
all	adverb	0.3313	0.6040	91	0.003501	0.002728
must	verb	0.3301	0.5470	89	0.003922	0.002859
came	verb	0.3053	0.5338	90	0.005578	0.004276
front	noun	0.2694	0.5558	87	0.002550	0.001583
