word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
田野	noun	0.6626	0.5450	30	0.000284	0.000350
更加	adverb	0.6626	0.5554	24	0.000275	0.000486
其中	noun	0.6609	0.5952	21	0.000184	0.000284
背部	noun	0.6609	0.5657	28	0.000473	0.000676
墓地	noun	0.6609	0.5709	26	0.000184	0.000193
呼吸	noun	0.6609	0.5536	31	0.000357	0.000447
尝试	verb	0.6609	0.6367	31	0.001875	0.003348
使用	verb	0.6609	0.5675	29	0.001163	0.001887
十分	adverb	0.6592	0.5381	32	0.000314	0.000352
血	noun	0.6574	0.5675	34	0.000687	0.000835
等待	verb	0.6540	0.6367	25	0.000273	0.000450
面颊	noun	0.6540	0.4689	26	0.000213	0.000255
战斗	verb	0.6540	0.5363	26	0.000271	0.000502
队友	noun	0.6540	0.6367	21	0.000140	0.000192
头顶	noun	0.6540	0.5190	21	0.000326	0.000521
利用	verb	0.6540	0.5121	29	0.001146	0.001856
门槛	noun	0.6540	0.5848	21	0.000143	0.000194
立刻	adverb	0.6540	0.5156	31	0.001500	0.002385
胸部	noun	0.6522	0.5554	32	0.000916	0.001237
那么	adverb	0.6505	0.5640	28	0.000212	0.000222
依然	adverb	0.6505	0.5536	27	0.000198	0.000193
背上	noun	0.6505	0.5986	34	0.000781	0.000845
背后	noun	0.6505	0.4775	31	0.000532	0.000693
恐惧	noun	0.6505	0.5675	30	0.000302	0.000385
反击	verb	0.6488	0.6142	26	0.000390	0.000782
晴	verb	0.6488	0.5415	30	0.000227	0.000210
制作	verb	0.6488	0.5069	28	0.000375	0.000520
破碎	noun	0.6488	0.5502	22	0.000157	0.000225
地板	noun	0.6471	0.5986	30	0.000315	0.000538
沟里	noun	0.6471	0.6211	28	0.000212	0.000246
教堂	noun	0.6471	0.4619	26	0.000212	0.000239
外套	noun	0.6471	0.5813	33	0.000554	0.000568
下周	noun	0.6471	0.5813	23	0.000169	0.000167
破裂	verb	0.6471	0.5190	25	0.000228	0.000314
坐	verb	0.6471	0.5536	34	0.001250	0.001497
证明	verb	0.6471	0.6125	29	0.000682	0.001167
敌人	noun	0.6471	0.5744	29	0.000310	0.000560
咳嗽	verb	0.6436	0.5744	25	0.000284	0.000370
研究	verb	0.6436	0.7128	29	0.000325	0.000423
路	noun	0.6436	0.6851	25	0.000215	0.000290
瓦砾	noun	0.6436	0.5225	22	0.000155	0.000245
递给	verb	0.6436	0.4706	30	0.000703	0.001030
听到	verb	0.6419	0.6540	33	0.001026	0.001249
放入	verb	0.6401	0.5917	25	0.000343	0.000498
惩罚	verb	0.6401	0.5294	31	0.001231	0.001718
保持	verb	0.6401	0.5779	22	0.000255	0.000789
口	noun	0.6401	0.4983	33	0.000568	0.000728
缓缓	verb	0.6401	0.6263	31	0.001373	0.002058
慢慢	adverb	0.6401	0.5260	34	0.010220	0.011814
就是	verb	0.6384	0.6090	26	0.000199	0.000180
浏览	verb	0.6384	0.6003	20	0.000140	0.000152
仍	adverb	0.6384	0.6263	30	0.000227	0.000222
冰凉	verb	0.6367	0.5813	25	0.000186	0.000180
离去	verb	0.6367	0.5536	25	0.000226	0.000286
放过	verb	0.6367	0.5087	23	0.000157	0.000178
皮肤	noun	0.6367	0.5813	27	0.000321	0.000378
逐渐	adverb	0.6367	0.5536	27	0.000810	0.001023
如何	adverb	0.6367	0.5467	34	0.006473	0.007192
切割	verb	0.6367	0.6678	29	0.000330	0.000374
无力	verb	0.6367	0.5917	29	0.000269	0.000271
剧烈	adjective	0.6367	0.6747	21	0.000228	0.000361
远	adverb	0.6349	0.5329	22	0.000286	0.000465
砸	verb	0.6349	0.4239	32	0.000963	0.001122
猛地	verb	0.6349	0.5173	32	0.002115	0.003200
小心翼翼	verb	0.6332	0.6505	30	0.000846	0.001163
走出	verb	0.6332	0.5052	21	0.000227	0.000369
长袍	noun	0.6332	0.4844	27	0.000311	0.000342
水面	noun	0.6332	0.6003	28	0.000213	0.000222
逃离	verb	0.6332	0.5156	31	0.003497	0.004056
球	noun	0.6332	0.6592	32	0.000396	0.000414
时刻	noun	0.6332	0.5467	22	0.000157	0.000164
河里	noun	0.6315	0.5588	28	0.000238	0.000292
头部	noun	0.6315	0.6678	32	0.000483	0.000635
讲	verb	0.6298	0.5640	22	0.000211	0.000339
进入	verb	0.6298	0.5277	20	0.000302	0.000721
峡谷	noun	0.6298	0.5502	25	0.000183	0.000178
道	verb	0.6298	0.5744	34	0.000356	0.000413
受到	verb	0.6298	0.4325	28	0.000382	0.000451
学会	verb	0.6298	0.5917	29	0.000415	0.000593
出现	verb	0.6298	0.6228	31	0.000313	0.000493
鱼	noun	0.6298	0.5398	31	0.000283	0.000267
哭泣	noun	0.6280	0.6194	30	0.000227	0.000207
僵硬	verb	0.6280	0.6194	30	0.000227	0.000207
旁边	noun	0.6263	0.6055	21	0.000174	0.000217
拉	verb	0.6263	0.5190	34	0.000966	0.001173
询问	verb	0.6263	0.5813	20	0.000209	0.000464
腰间	noun	0.6263	0.5848	26	0.000343	0.000361
哲学	noun	0.6263	0.5571	22	0.000170	0.000182
这是	verb	0.6263	0.4533	31	0.000420	0.000582
最终	adverb	0.6246	0.5035	30	0.000257	0.000269
对手	noun	0.6246	0.6522	22	0.000185	0.000265
检查	verb	0.6228	0.5294	29	0.000397	0.000533
怎么办	verb	0.6228	0.5640	33	0.007294	0.007374
结婚	verb	0.6228	0.6644	31	0.000729	0.001055
去世	verb	0.6228	0.5813	34	0.000470	0.000603
辞退	verb	0.6228	0.5398	27	0.000396	0.000410
消失	verb	0.6228	0.5208	30	0.000643	0.000773
观察	verb	0.6211	0.5865	22	0.000199	0.000299
抱怨	verb	0.6211	0.6522	28	0.000578	0.000850
呕吐	verb	0.6194	0.6125	27	0.000530	0.000685
辣椒	noun	0.6194	0.5675	27	0.000212	0.000210
能够	verb	0.6194	0.6055	21	0.000286	0.000392
无比	adverb	0.6194	0.4775	31	0.000316	0.000350
通过	verb	0.6176	0.5294	34	0.003090	0.004898
嘴巴	noun	0.6176	0.5502	30	0.000367	0.000412
气	noun	0.6159	0.5190	24	0.000258	0.000313
坐下	verb	0.6142	0.5381	26	0.000328	0.000568
开除	verb	0.6142	0.5277	32	0.000498	0.000484
明天	noun	0.6125	0.6367	25	0.000231	0.000300
开火	verb	0.6125	0.5156	29	0.000547	0.000861
对此	adverb	0.6125	0.5294	25	0.000753	0.001016
写	verb	0.6125	0.5398	34	0.001528	0.001777
注射	verb	0.6125	0.5467	27	0.000258	0.000303
长凳	noun	0.6107	0.5242	26	0.000198	0.000178
大地	noun	0.6090	0.5433	30	0.000300	0.000381
欢乐	noun	0.6090	0.5329	23	0.000169	0.000217
计算	verb	0.6090	0.5813	20	0.000160	0.000182
康复	verb	0.6090	0.5329	20	0.000187	0.000267
停止	verb	0.6090	0.5606	33	0.001171	0.001475
倒塌	noun	0.6090	0.5571	24	0.000185	0.000220
忠诚	noun	0.6090	0.5606	31	0.000638	0.000702
自豪	noun	0.6073	0.6090	26	0.000200	0.000230
头晕	verb	0.6073	0.5934	30	0.000485	0.000483
减少	verb	0.6055	0.6107	26	0.000226	0.000254
手臂	noun	0.6055	0.4879	31	0.001525	0.001683
树枝	noun	0.6055	0.4896	22	0.000158	0.000166
目标	noun	0.6055	0.6332	20	0.000174	0.000314
恢复	verb	0.6055	0.5104	24	0.000294	0.000379
射杀	noun	0.6055	0.4810	31	0.000816	0.001038
放下	verb	0.6038	0.4879	24	0.000401	0.000656
湖边	noun	0.6038	0.5242	26	0.000213	0.000211
机会	noun	0.6038	0.4048	26	0.000198	0.000177
口中	noun	0.6038	0.4723	32	0.000428	0.000452
煮	verb	0.6021	0.4135	24	0.000199	0.000196
打人	verb	0.6021	0.6263	31	0.000680	0.000886
