word	proj	n_cells
funeral	0.743718	75
Vodka	0.743643	2
bear	0.743471	71
seventh	0.742907	1
recipe	0.742589	4
goddess	0.742557	2
slams	0.741938	1
raped	0.741654	379
castrated	0.740943	1
thrust	0.740663	981
so	0.740646	2203
gas	0.740496	73
United	0.740063	44
rub	0.740039	288
paid	0.739736	2949
smacked	0.738822	295
pulled	0.738276	12881
doctored	0.738089	4
guitar	0.737751	34
batter	0.737566	13
hawks	0.737565	1
location	0.737457	24
cliff	0.737399	20
numbers	0.737201	57
41	0.736461	268
down____	0.736110	1
Post	0.735978	18
stabbed	0.735925	1367
newspaper	0.735504	47
sis	0.735233	2
pictures	0.735198	54
I'd	0.734894	72
tells	0.734530	13
flowers	0.734456	21
roasted	0.734352	14
Chris	0.734205	6
jaw	0.734203	137
treats	0.734150	4
chemotherapy	0.733915	1
toured	0.733827	7
pharmacy	0.733722	1
shave	0.733459	44
stand	0.733347	929
David	0.733343	26
We're	0.733064	20
h	0.733044	46
jumping	0.732723	148
Given	0.732465	6
guard	0.732283	8
friend	0.731641	203
kills	0.731537	3
told	0.731527	19803
fucking	0.731515	7
topple	0.730475	36
planted	0.730330	922
Duomo	0.730217	15
never	0.729658	5431
breeches	0.729470	4
golly	0.729021	1
An	0.729014	37
hungry	0.728886	5
custard	0.728785	3
buried	0.728614	1200
tower	0.728514	1
>>QUESTION<<	0.728167	2
pigs	0.728127	5
cows	0.727869	3
quit．	0.727768	1
scraps	0.727668	1
books	0.727528	30
Garden	0.727516	1
fowl	0.726816	2
ory	0.726361	2
ashtrays	0.726349	3
drove	0.726179	4025
cookies	0.725755	3
honestly	0.725358	1
apr	0.725266	1
f	0.724996	29
itude	0.724698	1
building	0.724372	83
canister	0.723822	1
nightstand	0.723306	6
paprika	0.723083	5
van	0.722926	6
firing	0.722912	37
Driver	0.722865	2
birth	0.722570	9
etched	0.722495	51
puke	0.722357	151
british	0.722074	1
重庆市	0.722017	1
amputate	0.721791	6
which	0.721620	214
bedside	0.721321	10
struck	0.720775	1716
208	0.720694	13
pitchers	0.720315	9
ath	0.719954	1
fitter	0.719904	1
serving	0.719865	11
girls	0.719673	4
doc	0.719227	1
Billy	0.719032	3
livres	0.719002	8
Vous	0.718930	1
wrecked	0.718889	104
scraped	0.718474	40
self	0.718424	17
sucked	0.718392	281
tale	0.718341	1
holiday	0.718159	3
feeder	0.718041	1
cost	0.717954	46
