lineage,group,depth,ratio_base,ratio_aligned,d
01-ai/Yi-1.5-9B,f11_species,1.0,0.594292,0.582756,-0.011536
01-ai/Yi-1.5-9B,f11_trust,0.125,0.900545,0.864324,-0.036221
01-ai/Yi-1.5-9B,f11_trust,0.25,0.854405,0.843735,-0.010670
01-ai/Yi-1.5-9B,f11_trust,0.375,0.527144,0.945270,0.418126
01-ai/Yi-1.5-9B,f11_trust,0.5,0.634161,6.555941,5.921780
01-ai/Yi-1.5-9B,f11_trust,0.625,0.515570,0.979960,0.464390
01-ai/Yi-1.5-9B,f11_trust,0.75,0.932462,0.789752,-0.142710
01-ai/Yi-1.5-9B,f11_trust,0.875,7.659864,41.463319,33.803455
01-ai/Yi-1.5-9B,f11_trust,1.0,0.857056,1.551566,0.694509
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty,0.125,0.803482,0.782195,-0.021287
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty,0.25,0.656375,0.580264,-0.076111
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty,0.375,2.340091,1.394193,-0.945899
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty,0.5,3.113181,1.569970,-1.543211
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty,0.625,2.926394,1.906879,-1.019515
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty,0.75,1.057598,1.108998,0.051400
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty,0.875,1.132102,1.137655,0.005553
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty,1.0,1.228406,1.215821,-0.012585
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty_ugly,0.125,0.768735,0.738328,-0.030407
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty_ugly,0.25,0.254181,0.223126,-0.031055
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty_ugly,0.375,1.312201,1.394751,0.082550
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty_ugly,0.5,3.245052,0.956782,-2.288271
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty_ugly,0.625,2.687853,0.543437,-2.144416
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty_ugly,0.75,0.697624,0.580619,-0.117005
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty_ugly,0.875,1.244520,0.844640,-0.399879
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_beauty_ugly,1.0,1.197734,1.148172,-0.049562
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive,0.125,1.113832,1.020107,-0.093725
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive,0.25,0.955805,0.956934,0.001129
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive,0.375,1.410182,0.917169,-0.493013
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive,0.5,1.183883,1.430598,0.246715
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive,0.625,4.127989,2.682189,-1.445800
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive,0.75,8.823497,5.702521,-3.120976
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive,0.875,1.439448,1.400182,-0.039266
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive,1.0,1.046577,1.087689,0.041112
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive_b,0.125,1.140607,1.182828,0.042220
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive_b,0.25,2.764296,1.762361,-1.001935
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive_b,0.375,0.802168,0.567963,-0.234205
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive_b,0.5,3.426183,2.241075,-1.185108
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive_b,0.625,6.215163,3.915104,-2.300059
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive_b,0.75,1.839331,1.365102,-0.474229
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive_b,0.875,2.871781,1.939332,-0.932449
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_captive_b,1.0,0.806808,0.697688,-0.109119
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_class,0.125,1.365533,1.273959,-0.091574
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_class,0.25,1.439545,1.558103,0.118558
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_class,0.375,1.635287,1.509377,-0.125910
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_class,0.5,1.240346,1.536546,0.296200
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_class,0.625,2.850409,7.191470,4.341062
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_class,0.75,2.351993,4.094053,1.742060
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_class,0.875,9.210452,11.028181,1.817729
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_class,1.0,0.538368,0.565954,0.027586
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_create,0.125,1.148692,1.178063,0.029371
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_create,0.25,1.304650,1.166491,-0.138159
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_create,0.375,3.659336,2.178552,-1.480785
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_create,0.5,1.726825,0.768857,-0.957968
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_create,0.625,4.589231,1.485056,-3.104175
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_create,0.75,0.211535,2.022184,1.810649
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_create,0.875,2.628660,2.154746,-0.473914
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_create,1.0,0.572845,0.679460,0.106615
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_desire,0.125,1.255555,1.114124,-0.141431
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_desire,0.25,5.803574,4.116334,-1.687241
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_desire,0.375,1.364125,1.382644,0.018518
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_desire,0.5,1.570628,0.898318,-0.672310
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_desire,0.625,1.175864,1.385262,0.209397
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_desire,0.75,1.092304,1.077193,-0.015111
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_desire,0.875,1.284347,1.291295,0.006948
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_desire,1.0,0.925409,0.933315,0.007906
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_faithful,0.125,0.971851,0.963294,-0.008558
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_faithful,0.25,1.863707,1.779515,-0.084192
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_faithful,0.375,1.953351,1.676451,-0.276900
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_faithful,0.5,3.457945,2.998982,-0.458964
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_faithful,0.625,0.476756,0.414958,-0.061798
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_faithful,0.75,1.287563,1.564414,0.276851
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_faithful,0.875,1.727176,1.023033,-0.704143
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_faithful,1.0,1.070792,1.281559,0.210767
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,f11_gender,0.125,0.847593,0.899382,0.051790
